,Correct,Questions,category,optionA,optionB,optionC,optionD
61, : A,"  Three statement are given followed by four conclusions I, II, III and IV. You have to consider the statement to be true, even if they seem to be at variance from commonly known facts. You have to decide which of the given conclusions, follow from the given statements निर्देश(15): तीन कथन दिये गये हैं, जिनके  आगे चार निष्कर्ष I, II, III तथा IV हैं। आपकों कथनों को सत्य मानकर विचार करना है, चाहे वह सामान्यतः ज्ञात तथ्यों से भिन्न प्रतीत होते हों।आपको निर्णय करना है कि दिए गए निष्कर्षों में से कौन-सा निश्चित रूप से दिए गए कथनों द्वारा सही निकलता है। Statements/कथन:  Some clothes are shirts./कुछ कपड़े कमीज है  All shirts are white./सभी कमीज सफ़ेद है  Some clothes are red./कुछ कपड़े लाल है  Conclusions/निष्कर्ष:  ", 10.1, Some shirts are white./कुछ कपड़े सफ़ेद है , All clothes are red./सभी कपड़े लाल है  , All shirts are red./सभी कमीज लाल है   , Some shirts are red./कुछ कमीज लाल है 
62, : D,"  Two statement is given followed by four conclusions I, II, III and IV. You have to consider the statement to be true, even if they seem to be at variance from commonly known facts. You have to decide which of the given conclusions, if any, follow from the given statements. निर्देश (8): दो कथन दिए गए है , जिसके आगे चार निष्कर्ष I,II,III तथा IV है|  आपकों कथनों को सत्य मानकर  विचार करना है , चाहे वह सामानन्यत : ज्ञात तथ्यों से भित्र प्रतीत होते हों |आपको निर्णय करना है की दिए गए निष्कर्षों में से कौन-सा निश्चित  रूप से दिए गए कथनों दुआर  सही निकलता है ,यदि कोई हो | Statements/कथन: Some pens are books./कुछ कलम किताब है | Some books are pencils./कुछ किताब पेंसिल है | Conclusions/निष्कर्ष: I.Some pens are pencils./ कुछ कलम पेंसिल है | II. II. Some pencils are pens./ कुछ पेंसिल कलम है | III. III. All pencils are pens./ सभी पेंसिल कलम है | IV. IV. All books are pens./सभी किताब कलम है  ", 10.1, Only I and III/केवल I और III , Only II and IV/केवल II और IV  , All the four/सभी चार  , None of the four/चरों में से कोई नहीं  
63, : B,"   A statement is given followed by two conclusions I and II. You have to consider the statement to be true, even if they seem to be at variance from commonly known facts. You have to decide which of the given argument, if any, follow from the given statement. निर्देश (9): एक कथन दिया गया है, जिनके आगे दो निष्कर्ष I तथा II  है | आपको विचार करना है कि कथन सत्य है    Statements/कथन: A bird in hand is worth two in the bush./ ज्यादा की लालसा से बेहतर है,जितना है उतने में संतोष करे |  Conclusions/निष्कर्ष:  I. We should be content with what we have./जो है उसमे संतोष करना चाहिए |  II. We should not crave for what is not./जो नहीं है, उसकी इच्छा नहीं करनी चाहिए| ", 10.1, Only conclusion I follows/ केवल I अनुसरण करता है | , Both I and II follow/ I और II दोनों अनुसरण करते  है | , Either I or II follows/ या तो I या IIअनुसरण करता है | , Neither I nor II follows/ न तो I न II अनुसरण करते है |   
64, : B,"   Two statements are given here which are followed by four conclusions. You have to consider the two statements to be true even if they seem to be at variance from commonly known facts. You have to decide which of the given conclusions, if any, follow from the given statements. निर्देश (12): यहा दो कथन और उसके आगे चार निष्कर्ष दिए गए हैं। आपको इन कथनों को सत्य मानकर विचार करना है चाहे वे सामान्यतः ज्ञात तथ्यों से भिन्न प्रतीत होते हों। आपको निर्णय करना है कि दिए गए निष्कर्षों में से कौन सा निष्कर्ष यदि कोई है, निश्चित रूप से कथन के आधर पर निकाला जा सकता है। Statements:/कथन:  No deer is donkey./कोई हिरण गधा नहीं है   All the donkey are camel./सभी गधे ऊँट है Conclusions:/निष्कर्ष:  1. No deer is camel./कोई हिरन ऊँट नहीं है   2. No camel is deer./कोई ऊँट हिरन नहीं है   3. Some camel are donkey./कुछ ऊँट गधे है   4. All the camel are donkey./सभी ऊँट गधे है  ", 10.1, Only conclusion (2) and (4)  केवल निष्कर्ष (2) और (4) अनुसरण करता है   , Only conclusion (3) follow  केवल निष्कर्ष (3) अनुसरण करता है   , Only conclusion (1) and (3) follows  केवल निष्कर्ष (1) और (3) अनुसरण करता है   , Only conclusion (3) and (4) follows  केवल निष्कर्ष (3) और (4) अनुसरण करता है     
65, : D,"   In the given question two statement are given followed by four conclusions I, II, III and IV. You have to consider the statements to be true, even if they seem to be at variance from commonly known facts. You have to decide which of the given conclusion, if any, follow from the given statement. निर्देश (20): दिए गए प्रश्न में दो कथन और आगे चार निष्कर्ष I, II, III तथा IV हैं| आपकों विचार करना है कि कथन सत्य है, चाहे वह सामान्यत: ज्ञात तथ्यों से भित्र प्रतीत होते हों| आपको निर्णय करना है कि दिए गए निष्कर्षों में से कौन-सा निश्चित रूप से दिए गए कथनों का अनुसरण करते हैं, यदि कोई हो| Statements/कथन: Some P are Q./कुछ P, Q हैं| Some Q are R./कुछ Q, R हैं| Conclusions/निष्कर्ष: I. Some P are R./कुछ P, R हैं| II. Some R are P./कुछ R, P हैं| III. All R are P./सभी R, P हैं| IV. All Q are P./सभी Q, P हैं| ", 10.1, Only I and III follow/ केवल I और III अनुसरण करते हैं , Only II and IV follow/ केवल II और IV अनुसरण करते हैं| , All the four follow/चारों अनुसरण करते हैं| , None of the four follow/चार में से कोई अनुसरण नहीं करता है|   
66, : A,"  Two statement are given followed by four conclusion I, II, III and IV. You have to consider the statement to be true, even if they seem to be at variance from commonly known facts. You have to decide which of the given conclusion, if any, follows from the given statement. निर्देश (12-13): दो कथन दिए गए है, जिनके आगे चार निष्कर्ष I, II, III तथा IV निकाले गए हैं| आपकों कथन सत्य मानकर विचार करना है, चाहे वह सामान्यत: ज्ञात तथ्यों से भिन्न प्रतीत होते हों| आपको निर्णय करना है कि दिए गए निष्कर्षों में से कौन-सा निश्चित रूप से दिए गए कथनों का सही अनुसरण करता है, यदि कोई हो| Statement/कथन All peacocks are lions./सभी मोर शेर हैं|  Some tigers are peacocks./कुछ बाघ मोर हैं| Conclusions/निष्कर्ष: I. Some lions are not tigers. कुछ शेर बाघ नहीं है| II. All tigers are lions. सभी बाघ शेर हैं| III. Some tigers are lions. कुछ बाघ शेर हैं| IV. All peacocks are tigers. सभी मोर बाघ हैं|   ", 10.1, Only conclusion III follows केवल निष्कर्ष III अनुसरण करता है| , Only conclusion IV follows केवल निष्कर्ष IV अनुसरण करता है| , Only conclusion I follows केवल निष्कर्ष I अनुसरण करता है| , Only conclusion II follows केवल निष्कर्ष II अनुसरण करता है|   
67, : D,  Statements/कथन: Science teachers do not use plastic bags./ विज्ञान के शिक्षक प्लास्टिक के थैलियों का प्रयोग नहीं करते| Plastic bags are not used by some Engineers./ प्लास्टिक बैग कुछ इंजीनियरों द्वारा प्रयोग में नहीं लाया जाता| Conclusions/निष्कर्ष: I. All Science teachers are Engineers./ विज्ञान के सभी शिक्षक इंजीनियर हैं| II. All Engineers do not use plastic bags./ सभी इंजीनियर प्लास्टिक बैग का प्रयोग नहीं करते| , 10.1, Only conclusion I follows केवल निष्कर्ष I अनुसरण करता है| , Only conclusion II follows केवल निष्कर्ष II अनुसरण करता है|  , Both conclusions I and II follow I तथा II दोनों निष्कर्ष अनुसरण करते हैं| , Neither conclusion I nor II follows न तो निष्कर्ष I न तो II अनुसरण करते है|   
68, : D,"  A statement is given followedby four conclusions I, II, III and IV. You have toconsider the statement to be true, even if theyseem to be at variance from commonly knownfacts. You have to decide which of the given conclusion, if any, follow from the givenstatement.  Statements/कथन: Some tables are T.V./कुछ मेज रेडियो हैं| Some T.V. are radios./कुछ टी.वी. रेडियों हैं| Conclusions/निष्कर्ष: I. Some tables are radios./कुछ मेज रेडियो हैं| II. Some radios are tables./कुछ रेडियो मेज हैं| III. All the radios are T.V./सभी रडियो टी.वी. हैं| IV. All the T.V. are tables./सभी टी.वी. मेज हैं| ", 10.1, Only (II) and (IV) follows. केवल(II) तथा(IV) अनुसरण करता है| , Only (I) and (III) follows. केवल(I) तथा(III) अनुसरण करता है| , Only (I) and (IV) follows. केवल(I) तथा(IV) अनुसरण करता है| , None follows कोई भी अनुसरण नहीं करता है| 
69, : D,"  Two statements are given which are followed by two conclusions 1 and 2. You have to consider the two statements to be true even if they seem to be at variance from commonly known facts. You have to decide which of the given conclusions, if any, follow from the given statements. निर्देश: प्रश्न संख्या 10 में दो कथन और उसके आगे दो निष्कर्ष 1 और 2 दिए गए हैं| आपको इन कथनों को सत्य मानकर विचार करना है चाहे वे सामान्यत: ज्ञात तथ्यों से भिन्न प्रतीत होते  हों| आपको निर्णय करना है कि दिए गए निष्कर्षों में से कौन सा निष्कर्ष यदि कोई है, निश्चित रूप से कथन के आधार पर निकाला जा सकता है|   Statements:/कथन  Some Ants are Pineapple.  कुछ चीटियाँ अनानास हैं| All Pineapple are Apples.  सभी अनानास सेब हैं| Conclusions:/निष्कर्ष  I. All Apples are Pineapple  सभी सेब अनानास हैं| II. Some Ants are Apples.  कुछ चीटियाँ सेब है| ", 10.1, Neither conclusion I nor conclusion II follows न तो निष्कर्ष I न II  दोनों अनुसरण करता है| , Either conclusion I or conclusion II follows या तो निष्कर्ष I या II अनुसरण करता है|  , Only conclusion I follow केवल निष्कर्ष I अनुसरण करता है| , Only conclusion II follow केवल निष्कर्ष II अनुसरण करता है| 
70, : C,"   Two statements are given here which are followed by two conclusions. You have to consider the two statements to be true even if they seem to be at variance from commonly known facts. You have to decide which of the given conclusions, if any, follow from the given statements.  निर्देश (12): यहां दो कथन ओर उसके आगे दो निष्कर्ष दिए गए हैं| आपको इन कथनों को सत्य मानकर विचार करना है चाहे वे सामान्यत: ज्ञात तथ्यों से भिन्न प्रतीत होते हों| आपको निर्णय करना है कि दिए गए निष्कर्षों में से कौन सा निष्कर्ष यदि कोई है, निश्चित रूप से कथन के आधार पर निकाला जा सकता है| Statements/कथन:  All the tomatoes are flowers.  सभी टमाटर फूल हैं Some seeds are flowers.  कुछ बीज फूल हैं  Conclusions/निष्कर्ष:  1. All the tomatoes are seeds. सभी टमाटर बीज है   2. Some seeds are tomatoes. कुछ बीज टमाटर हैं  ", 10.1, Only conclusion (1) follows d केवल निष्कर्ष (1) अनुसरण करता है  , Only conclusion (2) follows  केवल निष्कर्ष (2) अनुसरण करता है  , Neither Conclusion (1) nor (2) follows  न तो निष्कर्ष (1) न ही निष्कर्ष (2) अनुसरण करता है  , Either conclusion (1) or (2) follows  या तो निष्कर्ष (1) या (2) अनुसरण करता है  
71, : A,"   Two statements are given here which are followed by two conclusions. You have to consider the two statements to be true even if they seem to be at variance from commonly known facts. You have to decide which of the given conclusions, if any, follow from the given statements. निर्देश (17) : यहां दो कथन और उसके आगे दो निष्कर्ष दिए गए हैं। आपको इन कथनों को सत्य मानकर विचार करना है चाहे वे सामान्यतः ज्ञात तथ्यों से भिन्न प्रतीत होते हों। आपको निर्णय करना है कि दिए गए निष्कर्षो में से कौन सा निष्कर्ष यदि कोई है, सही लागू होता है।  Statements:/ कथनः 1. Should street lights be switched off after midnight?. क्या आधी रात के बाद सड़क की रोशनी को बंद कर देना चाहिए? Conclusions:/ निष्कर्षः I. No, statistics show that crime and accidents increase if street lights are switched off. नहीं, आंकड़े बताते हैं कि अगर सड़क की रोशनी बंद हो जाती है, तो अपराध और दुर्घटनाएं बढ़ जाती हैं। II. Yes, few vehicles ply after midnight, expensive electricity will be wasted. हां, आधी रात के बाद कुछ वाहन चलते हैं, महंगी बिजली बर्बाद हो जाती है।  ", 10.1, Both I and II follow. दोनों निष्कर्ष I और II अनुसरण करते है। , Neither I nor II follows. न तो I न II अनुसरण करता है। , Only conclusion II follows. केवल निष्कर्ष II अनुसरण करता है। , Only conclusion I follows. केवल निष्कर्ष I अनुसरण करता है। 
72, : D,"  Two statements are given here which are followed by two conclusions. You have to consider the two statements to be true even if they seem to be at variance from commonly known facts. You have to decide which of the given conclusions, if any, follow from the given statements. निर्देश (19) :  यहां दो कथन और उसके आगे दो निष्कर्ष दिए गए हैं। आपको इन कथनों को सत्य मानकर विचार करना है चाहे वे सामान्यतः ज्ञात तथ्यों से भिन्न प्रतीत होते हों। आपको निर्णय करना है कि दिए गए निष्कर्षो में से कौन सा निष्कर्ष यदि कोई है, सही लागू होता है। Statements:/ कथनः 1. Should zoos be closed down? क्या चिड़ियाघरों को बंद किया जाना चाहिए? Conclusions:/ निष्कर्षः I. Yes, imprisoning animals is a crime. हाँ, जानवरों को कैद करना एक अपराध है II. No, it is fine if some animals are kept in captivity for sake of entertainment. नहीं, मनोरंजन के लिए अगर जानवरों को कैद किया जाता है, तो वह ठीक है। ", 10.1, Both I and II follow. दोनों निष्कर्ष I और II अनुसरण करते है। , Neither I nor II follows. न तो I न II अनुसरण करता है। , Only conclusion II follows. केवल निष्कर्ष II अनुसरण करता है। , Only conclusion I follows.  केवल निष्कर्ष I अनुसरण करता है। 
73, : D,"  Two statements are given here which are followed by two conclusions. You have to consider the two statements to be true even if they seem to be at variance from commonly known facts. You have to decide which of the given conclusions, if any, follow from the given statements. निर्देश (19) : यहां दो कथन और उसके आगे दो निष्कर्ष दिए गए हैं। आपको इन कथनों को सत्य मानकर विचार करना है चाहे वे सामान्यतः ज्ञात तथ्यों से भिन्न प्रतीत होते हों। आपको निर्णय करना है कि दिए गए निष्कर्षो में से कौन सा निष्कर्ष यदि कोई है, सही लागू होता है। Statements:/ कथनः 1. All LED are bulb. सभी एलईडी बल्ब हैं। 2. Some bulbs are not tube light. कुछ बल्ब ट्यूब लाईट नहीं है। Conclusions:/ निष्कर्षः I. Some tube light are LED. कुछ ट्यूब लाईट एलईडी है ।I. All LED are tube lights. सभी एलईडी ट्यूब लाईट हैं। ", 10.1, Both I and II follow. दोनों निष्कर्ष I और II अनुसरण करते है। , Neither I nor II follows. न तो I  न II  अनुसरण करता है। , Only conclusion II follows. केवल निष्कर्ष II अनुसरण करता है। , Only conclusion I follows.  केवल निष्कर्ष I अनुसरण करता है। 
