,Correct,OptionA,OptionB,OptionC,OptionD,OptionE,Questions,solution,Category
10, C)Governors of states,Executive power of state,Appointment of Governor,Governors of states,Seat of supreme court,None of these,Article 153 of the Indian Constitution deals with ?, :,18.1
11, D)Article 213,Article 114,Article 156,Article 201,Article 213,None of these,Power of Governor to promulgate ordinances during recess of Legislature is mentioned in which article, :,18.1
12, B)Habeas Corpus,Mandamus,Habeas Corpus,Quo Warranto,Prohibition,None of these,Which of the following writ is said to be a guarantor  of personal freedom?, :,18.1
13, A)5,5,8,10,15,None of these,How many types of writs are there in Indian constitution?, :,18.1
14, C)Britain,USA,Japan,Britain,Germany,None of these,From which country Indian Constitution borrowed speaker in Lok sabha ?, :,18.1
15, D)Article  280,Article 245,Article 260,Article 290,Article  280,None of these,In Indian constitution which article is mentioning about the Finance Commission, :,18.1
16, B)Article 302,Article 350,Article 302,Article 210,Article 202,None of these,"Power of Parliament to impose restrictions on trade, commerce, and intercourse. is mentioned in which article of the Indian Constitution?", :,18.1
17, A)All-India services.,All-India services.,Annual Financial Statement,Administrative Tribunals.,Grama Sabha,None of these,Article 312 of Indian Constitution deals with ?, :,18.1
18, C)Article 340,Article 333,Article 322,Article 340,Article  310,None of these,Appointment of a commission to investigate the conditions of backward classes is mentioned in which article of the Indian Constitution?, :,18.1
19, A)Article 323A,Article 323A,Article  233B,Article 223B,None of these,None of these,Which Constitutional article defines the work of Administrative Tribunal ?, :,18.1
20, C)Article 338,Article 318,Article 328,Article 338,Article 348,None of these,National Commission for scheduled caste is mentioned in which article, :,18.1
21, B)Part XIVA,Part X,Part XIVA,Part XVI,Part XII,None of these,Tribunal  is mentioned in which part of the Indian Constitution?, :,18.1
22, A)Part XI,Part XI,Part XIII,Part XV,Part XIV,None of these,Relations between the Union and the states is mentioned in which part of the Indian Constitutuion?, :,18.1
23, C)Article 266,Article 246,Article 256,Article 266,Article 279,None of these,Consolidated Funds and public accounts of India and of the States is mentioned in which article of the Indian Constitution?, :,18.1
24, D)Contingency Fund,Annual Financial Statement,Budget,Administrative Tribunals,Contingency Fund,None of these,Article 267 Of the Indian Constitution deals with, :,18.1
25, B)Article 300A,Article 257A,Article 300A,Article 290A,Article 300,None of these,Persons not to be deprived of property save by authority of law is mentioned in, :,18.1
26, D)315,215,115,225,315,None of these,Public Service Commissions for the Union and for the States is mentioned in which article of the Indian Constitution ?, :,18.1
27, A)Functions of Public Service Commissions,Functions of Public Service Commissions,Grama Sabha,Administrative Tribunals,Power of Parliament to vary or revoke,None of these,Article 320 of the Indian Constitution deals with, :,18.1
28, B)Part XV,Part X,Part XV,part XVI,Part XIV,None of these,’Elections’ is mentioned in which part of the Indian Constitution?, :,18.1
29, C)326,336,338,326,328,None of these,Elections to the House of the People and to the Legislative Assemblies of States to be on the basis of adult suffrage is mentioned in which article of the Indian Constitution, :,18.1
30, C)Part XVII,Part XV,Part XVI,Part XVII,Part XVIII,None of these,In which part of the Indian Constitution Official Language is mentioned?, :,18.1
31, A)Article 351,Article 351,Article 341,Article 361,Article 371,None of these,Directive for development of the Hindi language is mentioned in which article of the Indian Constitution?, :,18.1
32, D)Article 361,Article 351,Article 341,Article 371,Article 361,None of these,Protection of President and Governors and Rajpramukh is mentioned in which article ?, :,18.1
33, B)4th Schedule,10th Schedule ,4th Schedule ,8th Schedule ,2nd Schedule,None of these,Which Schedule of the Indian Constitution prescribes the distribution of seats in Rajya Sabha, :,18.1
34, C)U.S.,USSR,UK,U.S.,Japan,None of these,From which country Indian Constitution Borrowed the feature ‘The Written Constitutiuon’, :,18.1
35, A)Article 371A,Article 371A,Article 331A,Article 381,Article 361,None of these,Special provision with respect to the State of Nagaland is mentioned in which article?, :,18.1
36, D)Part XX,Part XV,Part XX,Part XV,Part XX,None of these,Amendment of the Constitution is mentioned in which part of the Indian Constitution, :,18.1
37, B)10th Schedule,11th Schedule ,10th Schedule ,9th Schedule ,7th Schedule,None of these,Which Schedule of the Indian Constitution contains provisions as to disqualification of MPs and MLAs on the ground of defection ?, :,18.1
38, C)Article 356,Article 364,Article 346,Article 356,Article 365,None of these,Provisions in case of failure of constitutional machinery in States is metioned in which article , :,18.1
39, A) 8,8,7,10,12,None of these,At the time of adoption how many schedules were there in Indian Constitution, :,18.1
40, D)Proclamation of Emergency,President Of India,Annual Financial Statement,Rajya Sabha,Proclamation of Emergency,None of these,Article 352 of the Indian Constitution deals with , :,18.1
41, B)USSR,UK,USSR,U.S.,Japan,None of these,From which country Indian Constitution Borrowed the feature ‘Five year Plan’, :,18.1
42, C)12,8,10,12,7,None of these,Currently how many Schedules are ther in Indian Constitution, :,18.1
43, D)List of Recognized Languages,Panchayats,Tribunals,Rajya Sabha,List of Recognized Languages,None of these,Eighth schedule of the Indian Constitution deals with, :,18.1
44, B)USSR,UK,USSR,U.S.,Japan,None of these,From Which country Indian Constitution Borrowed Fundamental Duties ?, :,18.1
45, A) Germany, Germany,USSR,Canada,Japan,None of these,From Which country Indian Constitution Borrowed Suspension of Fundamental Rights during the emergency ?, :,18.1
46, C)South Africa,Japan,Germany,South Africa,UK,None of these,From Which country Indian Constitution Borrowed Amendment of the Constitution , :,18.1
47, D)Australia,Japan,Ireland,South Africa,Australia,None of these,From Which country Indian Constitution Borrowed Language of the preamble, :,18.1
48, B)U.S,USSR,U.S,South Africa,UK,None of these,From Which country Indian Constitution Borrowed Preamble, :,18.1
49, A) 3rd schedule, 3rd schedule,4th Schedule ,8th Schedule ,2nd Schedule,None of these,Forms of Oaths or Affirmations is mentioned in which schedule of the Indian Constitution?, :,18.1
50, – C)State and UTs,Languages,Municipalities,State and UTs,Panchayats,None of these,First Schedule of the Constitution of India related to ………………………….., :First schedule is related to State and UTs – Article 1-4,18.1
51, – D)Tenth Schedule,Third  Schedule,Seventh Schedule,Eighth Schedule,Tenth Schedule,None of these,Anti – Defection law related to which schedule ?, :Tenth schedule is related to Anti-Detection – Articles 102(2) and 191(2) Added by 52nd amendment in 1985. Contains provisions of disqualification of grounds of defection,18.1
52, – A)Administration of Tribal areas of North-Eastern States,Administration of Tribal areas of North-Eastern States,Administration and Control of Scheduled areas and Scheduled tribes,Allocation of seats in the Rajya Sabha,Distribution of power between the Union and the State Government,None of these,Sixth Schedule of is related to which of the following ?, :Sixth Schedule is related to Administration of Tribal areas of North-Eastern States – (Articles 244(2) and 275(1),18.1
53, – C)Panchayats,Allocation of seats in the Rajya Sabha,Validation of certain Acts and Regulations,Panchayats,State and UTs,None of these,Eleventh Schedule of the Constitution of India is related to ………………………., :Eleventh schedule is related to Panchayats – Article 243-D By 73rd amendment in 1992. Contains provisions of Panchayati Raj.,18.1
54, – C)Third Schedule,Second  Schedule,Fifth Schedule,Third Schedule,Tenth Schedule,None of these,"Oaths and Affirmations, Forms of Oath and  Affirmations of members of Legislatures, Ministers and Judges is related to which schedule ?"," :Third Schedule is related to Oaths and Affirmations, Forms of Oath and  Affirmations of members of Legislatures, Ministers and Judges – Articles 75(4), 99, 124(6), 148(2), 164(3), 188 and 219",18.1
55, – C)Fifth Schedule,Sixth Schedule,Twelfth Schedule,Fifth Schedule,Eleventh Schedule,None of these,Administration and Control of Scheduled areas and Scheduled tribes related to ………………….., :Fifth Schedule is related to Administration and Control of Scheduled areas and Scheduled tribes – Article 244(1),18.1
56, – C)Municipalities,Panchayats,Anti-Defection Law,Municipalities,State and UTs,None of these,Twelth Schedule of the Constitution of India is related to which of the following ?, :Twelfth Schedule is related to Municipalities – Article 243-W By 74thamendment in 1992. Contains provisions of Municipal Corporation.,18.1
57, – A)Seventh Schedule,Seventh Schedule,Eighth Schedule,Twelfth Schedule,Ninth Schedule,None of these,Distribution of power  between the Union and the State Government related to which Schedule ?, :Seventh Schedule is related to Distribution of power  between the Union and the State Government – Article 246 Gives allocation of powers and functions between Union & States. It contains 3 lists Union List (For central Govt) 97 Subjects. States List (Powers of State Govt) 66 subjects Concurrent List (Both Union & States) 47 subjects.,18.1
58, – B)Allocation of seats in the Rajya Sabha,Municiplaities,Allocation of seats in the Rajya Sabha,Languages,Administration of Tribal areas of North-Eastern States,None of these,Fourth Schedule is related to …………………………, :Fourth Schedule is related to Allocation of seats in the Rajya Sabha – Articles 4(1) and 80(2),18.1
59, – C)Second Schedule,First Schedule,Eighth Schedule,Second Schedule,Ninth Schedule,None of these,"Salary and Emoluments of president, Governor, Chief judges and Auditor general related to which schedule ?"," :Second Schedule is related to Salary and Emoluments of president, Governor, Chief judges and Auditor general – (Articles 59(3), 65(3), 75(6), 97, 125, 148(3), 158(3), 164(5), 186 and 221)",18.1
60, – B)Ninth Schedule,Eleventh Schedule,Ninth Schedule,Second Schedule,Seventh Schedule,None of these,Which of the following schedule is related to Validation of certain Acts and Regulations ?," :Ninth Schedule is related to  Validation of certain Acts and Regulations – Article 31-B The Ninth Schedule, which finds itself under debate after the Supreme Court judgment on January 11, 2007, was added to the Constitution in 1951, primarily to deal with a situation in which the Supreme Court struck down land reform laws.",18.1
61, – A)Languages,Languages,Municipalities,Panchayats,"Salary and Emoluments of president, Governor, Chief judges and Auditor general",None of these,Eighth schedule of the Constitution of India is related to which of the following ?," :Eigth schedule is related to Languages – Articles 344(1) and 351 List of 22 languages of India recognized by Constitution. Sindhi was added in 1967 by 21 Amendment.Konkani, Manipuri ad Nepali were added in 1992 by 71 amendment Santhali, Maithili, Bodo and Dogri were added in 2003 by 92 amendment",18.1
62, C)Indian,Australia,Japan,Indian,Canada,None of these,The largest constitution in the world ?, :,18.1
63, B)26 Nov 1949,26 Jan 1950,26 Nov 1949,26 Dec 1950,15 Aug 1948,None of these,Indian Constitution was adopted by the Government of India  on :, :,18.1
64, D)395,448,385,495,395,None of these,How many articles are there in Indian Constitution originally, :,18.1
65, A)14,14,10,9,17,None of these,Equality before law’ is mentioned in which article of the Indian Constitution?, :,18.1
66, C)Article 19,Article 17,Article 11,Article 19,Article 5,None of these,Which article contains the right to freedom of speech ?, :,18.1
67, A)Article  21A,Article  21A,Article 31D,Article 15,Article 39A,None of these,Which article deals with Right to elementary Education ?, :,18.1
68, D)Article 12 – 35,Article 36 – 51,Article 5 – 11,Article 52 – 151,Article 12 – 35,None of these,Fundamental Rights are granted to citizens under which Article ?, :,18.1
69, B)Abolition of Untouchability,Abolition of titles,Abolition of Untouchability,Equality before law,Right to education,None of these,Article 17 of the Indian Constitution deals with ?, :,18.1
70, C)Article 29,Article 18,Article 4,Article 29,Article 25,None of these,Protection of interst of minorities is mentioned in which article?, :,18.1
71, A)Part IV,Part IV,Part VII,Part IX,Part III,None of these,Which part of the Indian constitution deals with the directive principles?, :,18.1
72, D)12,15,10,35,12,None of these,How many schedules are there in Indian constitution?, :,18.1
73, B)Article 2,Article 1,Article 2,Article 3,Article 4,None of these,In which article of the Indian Constitution the admission or establishment of new states is mentioned?, :,18.1
74, C)Article 6,Article 4,Article 8,Article 6,Article 10,None of these,Rights of citizenship of certain persons who have migrated to India from Pakistan  is mentioned in which article ?      , :,18.1
75, A)K. M. Munshi,K. M. Munshi,Jawaharlal Nehru,B)R.Ambedkar,Mahatma Gandhi,None of these,Who made the statement “The preamble of the constitution is the horoscope of Indian Republic” ?  , :,18.1
76, D)Article 11,Article 41,Article 37,Article 13,Article 11,None of these,Parliament to regulate the right of citizenship by law is mentioned in which article of the Indian Constitution ?, :,18.1
77, C)Prohibition of employment of children in factories,Right to education,Protection of life and personal liberty,Prohibition of employment of children in factories,Prohibition of traffic in human beings and forced labour,None of these,Article 24 of the Indian Constitution deals with ?, :,18.1
78, B)Article 45,Article 35,Article 45,Article 27,Article 55,None of these,Provision for free and  compulsory education for children is mentioned in which articleA), :,18.1
79, D)Article 61,Article 59,Article 71,Article 140,Article 61,None of these,Procedure for the impeachment of the President is mentioned in which article of the Indian Constitution?, :,18.1
80, B)Comptroller and Auditor – General of India,Rules of court,Comptroller and Auditor – General of India,Seat of Suprme Court,Appropriation of Bills,None of these,Article 148 of the Indian Constitution deals with, :,18.1
81, A)Article 112,Article 112,Article 125,Article 140,Article 131,None of these,Annual financial statement is mentioned in which article of the Indian Constitution?, :,18.1
82, C)Article 124,Article 142,Article 88,Article 124,Article 138,None of these,Establishment and constitution of Supreme court mentioned in which article, :,18.1
83, B)Article 149,Article 137,Article 149,Article 98,Article 150,None of these,Duties and powers of the comptroller and auditor general is mentioned in which article?, :,18.1
84, D)Dr.B)R. Ambedkar,Jawaharlal Nehru,Mahatma Gandhi,RajendraPrasad,Dr.B .R. Ambedkar,None of these,Who is known as the chief architect of Indian Constitution ?, :,18.1
0, ľC)Decibel,Intensity,Hertz,Decibel,Frequency,None of these,The Unit of sound is _____..," :Decibel(dB), unit for expressing the ratio between two amounts of electric or acoustic power or for measuring the relative loudness of sounds. 1 dB = 20 times the common logarithm of the ratio.",11.1
1, ľB)20Hz to 20000Hz,less than 20Hz,20Hz to 20000Hz,Greater than 20000Hz,20000Hz,None of these,The sound waves or audible waves are lies in the range of _____, :Sound waves or audible waves ľ 20Hz to 20000Hz These waves sensitive to human ear,11.1
2," ľD)Maximum, Minimum","Minimum, Maximum","Minimum, Minimum","Maximum, Maximum","Maximum, Minimum",None of these,Speed of sound is _____.. in solids and _____ in gases, :Speed of sound is maximum in solids and minimum in gases,11.1
3, ľA)less than 20Hz,less than 20Hz,20Hz to 20000Hz,Greater than 20000Hz,20000Hz,None of these,The infrasonic waves have the frequencies, :Infrasonic waves ľ less than 20Hz These waves are produced by earth quakes,11.1
4, ľD) 10-4 to 104 m,10-3 to 104 m,10-1 to 102 m,10-2 to 103 m,10-4 to 104 m,None of these,The wavelength range of electromagnetic wave is _____," :Ex of electromagnetic wave ľ Alpha rays, Gamma rays",11.1
5, ľ D)The no of oscillations in 1 seconds,The maximum time period,Maximum displacement from mean position,Time taken for 1 oscillation,The no of oscillations in 1 seconds,None of these,Frequency is defined as, :Frequency is defined as the no of oscillations in 1 seconds Frequency Unit ľ Hertz F=1/T,11.1
6, ľA)Moon,Moon,Earth,Mountains,Ocean,None of these,The echo is not heared at the _____. due to absence of atmosphere, :The sound waves received after being reflected from some other place is called echo. The minimum distance between the observer and reflector should be 17m.,11.1
7, ľB)Transverse,Longitudinal,Transverse,Mechanical,Electromagnetic waves,None of these,_____.. waves are always characterized by particle motion being perpendicular to wave motion., :Transverse waves are always characterized by particle motion being perpendicular to wave motion.,11.1
8, ľC)Wavelength,Amplitude,Frequency,Wavelength,Time period,None of these,The distance between consecutive trough or compression is known as, :Distance between consecutive trough or compression is known as Wavelength Wavelength( ?) Unit ľ meter,11.1
9, ľ D)Ultrasonic waves,Electromagnetic waves,Sound Waves,Audible waves,Ultrasonic waves,None of these,The longitudinal waves having frequency greater than 20000Hz are called, :Ultrasonic waves ľ greater than 20000Hz Human ears canĺt detect theses waves,11.1
10, ľ C)Galileo,Newton,Pascal,Galileo,Aristotle,None of these,Who introduced the concept of inertia ?, :The term ôinertiaö is more properly understood as shorthand for ôthe principle of inertiaö as described by Newton in his First Law of Motion: that an object not subject to any net external force moves at a constant velocity.,11.1
11, ľ A)Zero,Zero,Constant,Maximum,Minimum,None of these,If the resultant of all the force acting on a body is _____. then the body is said to be in equilibrium, :Equilibrium results from the cancellation of forces acting on an object.,11.1
12, ľ D)Conservation of momentum,Circular motion,Centre of gravity,Equilibrium,Conservation of momentum,None of these,Rocket works on the principle of _____, :Conservation of momentum is a fundamental law of physics which states that the momentum of a system is constant if there are no external forces acting on the system. It is embodied in Newtonĺs first law (the law of inertiA).,11.1
13, ľ C)Static,Dynamic,Neutral equilibrium,Static,Either Static or Dynamic,None of these,If the body is at rest then the equilibrium is called as _____," :When forces acting on an object which is at rest are balanced, then we say that the object is in a state of static equilibrium. The resultant of these forces equals zero. That is, the vector sum of the forces adds to zero",11.1
14, ľ C)Joule,Kilogram,Kelvin,Joule,Watt,None of these,Energy is defined as capacity of doing work.Its unit is _____.," :The joule symbol J, is a derived unit of energy in the International System of Units. It is equal to the energy transferred (or work donE) to an object when a force of one newton acts on that object in the direction of its motion through a distance of one metre (1 newton metre or N)",11.1
15, ľ A)Kinetic Energy,Kinetic Energy,Law of conservation Energy,Potential Energy,Gravitational Force,None of these,A bullet fired from a gun can pierce a target due to its _____, :Kinetic energy is the energy possessed by a body by virtue of its motion KE = Ż(mv2),11.1
16, ľ B)Potential Energy,Negative Energy,Potential Energy,Positive Energy,Kinetic Energy,None of these,_____ is the energy possessed by a body by virtue of its position, :Potential Energy is the energy possessed by a body by virtue of its position. Ex ľ The potential energy of water in dams used to run turbines inorder to produce electricity.,11.1
17, ľ D)Constant,Minimum,Maximunm,Zero,Constant,None of these,The sum of all kinds of energies in an isolated system remains _____.. at all times, :According to law of conservation of energy the sum of all kinds of energies in an isolated system remains constant at all time.,11.1
18," ľ B)Heat, Mechanical","Mechanical, electrical","Heat, Mechanical","Electrical, Heat","Heat,Electrical",None of these,In a heat engine _____.. energy changes into _____. energy, :In a heat engine Heat energy changes into Mechanical energy,11.1
19," ľ C)Electrical, Mechanical","Mechanical, electrical","Heat, Mechanical","Electrical, Mechanical","Heat,Electrical",None of these,In electric motor _____.. energy changes into _____. energy, :In electric motor electrical energy changes into mechanical energy,11.1
20, ľC)370C,730C,300C,370C,1000C,None of these,The normal temperature of human body is _____., :Normal body temperature as an oral temperature of 98.6░F (37░C). This is an average of normal body temperatures.,11.1
21, ľC)40C,70C,30C,40C,20C,None of these,Density of water is maximum at _____.., :Density of a substance is defined as the ratio of its mass to its volume Unit = kg/m3,11.1
22, ľ B)N/m2 ,N/sm2,N/m2,kg/m2,N/m3,None of these,What is the SI unit of pressure ?, :Pressure is defined as the force acting normally on unit area of the surface Unit = N/m2  or Pascal.A tmospheric pressure is measured by Barometer,11.1
23, ľA)Rain,Rain,Storm,Clear Weather,Normal Weather,None of these,Slow fall in barometric reading is the indication of _____., :The slow fall in barometric reading is the indication of rain The slow rise in barometric reading is the indication of clear weather The sudden fall in barometric reading is the indication of storm,11.1
24, ľD)00,600,450,900,0,None of these,The angle of contact is _____. for pure water and clean glass," :The angle of contact is 00 for pure water and clean glass. It is 900 for silver, 80  for ordinary water and 1350 for mercury",11.1
25, ľA)Electromagnetic waves,Electromagnetic waves,Transverse Waves,Longitudinal Waves,Mechanical Waves,None of these,Which does not require the medium for their propagation ?," :Electromagnetic waves do not require medium for their propagation. Ex ľ Cathode rays, Alpha and Beta rays",11.1
26, ľ E)Both 1 and 2,Electromagnetic waves,Sound waves,Mechanical Waves,Shock waves,Both 1 and 2,Which require the medium for their propagation ?,:,11.1
27, ľC)Mach Number,Avogadrao Number,Energy,Mach Number,Wavelength,None of these,The speed of Supersonic wave is measured in _____., :Mach number is the ratio of speed of source to the speed of sound Mach number >1- Supersonic Mach number >5- Hypersonic Mach number <1 ľ Body is moving with supersonic,11.1
28, ľ A)800 0C,800 0C,500 0C,1000 0C,750 0C,None of these,Pyrometer canĺt measure the temperature below _____, :Pyrometer measure the temperature of a body by measuring the radiation emitted by the body.It canĺt measure the temperature below 800 0C,11.1
29, ľB)-390C,-210C,-390C,-190C,390C,None of these,Freezing point of Mercury _____., :Freezing point of Mercury is 390C.To measure the temperature below -390C alcohol thermometer is used. Freezing point of alcohol is -1140C,11.1
30, ľ C)Keplerĺs law,Dopplerĺs effect,Pascalĺs law,Keplerĺs law,Hookeĺs law,None of these,All planets move around the sun in elliptical orbits having the sun at one foci of the orbit is called _____., :All planets move around the sun in elliptical orbits having the sun at one foci of the orbit is called ľ Keplerĺs law,11.1
31, ľ B)West to east,North to South,West to east,East to west,South to North,None of these,The earth rotates on its axis from _____.., :The earth rotates on its axis from west to east. This rotation makes the sun and the stars appear to be moving across from East to West.,11.1
32, ľ D)v2,2,v3,1,v2,None of these,Escape velocity is _____.. times the orbital velocity," :Escape velocity is Escape velocity is  .v2 times the orbital velocity times the orbital velocity.Escape velocity is the minimum speed needed for an object to ôbreak freeö from the gravitational attraction of a massive body. The escape velocity from Earth is about 40,270 km/h",11.1
33, ľ C)Youngĺs modulus,Bulk Modulus,Modulus of Rigidity,Youngĺs modulus,Density,None of these,"If strain is longitudinal then the modulus of elasticity is called ,_____."," :Youngĺs modulus, which is also known as the elastic modulus, is a mechanical property of linear elastic solid materials. It defines the relationship between stress (force per unit areA) and strain (proportional deformation) in a material",11.1
34, ľ B)First law of Thermodynamics,Second law of Thermodynamics,Zeroth law of Thermodynamics,Third law of Thermodynamics,First law of Thermodynamics,None of these,The amount of heat given to the system is used up in 2 ways is _____," :First law of Thermodynamics ľ the amount of heat given to the system is used up in 2 ways, first to increase the internal energy and second to do the external work",11.1
35, ľ A)Low,Low,High,Variable,Constant,None of these,Mercury has _____.. Specific heat, :Mercury has low Specific heat.The specific heat is the amount of heat per unit mass required to raise the temperature by one degree Celsius.,11.1
36, ľ A)Second law of Thermodynamics,Second law of Thermodynamics,Zeroth law of Thermodynamics,Third law of Thermodynamics,First law of Thermodynamics,None of these,The _____. law of thermodynamics is the outcome of human experience under which heat energy can be converted, :The Second law of Thermodynamics is the outcome of human experience under which heat energy can be converted into mechanical energy,11.1
37, ľ C)Expansion in length,Expansion in Volume,Expansion in Area,Expansion in length,Expansion in Width,None of these,Linear expansion mean _____, :Linear expansion means change in one dimension (length) as opposed to change in volume (volumetric expansion).,11.1
38, ľ C)Superficial Expansion,Cubical Expansion,Linear Expansion,Superficial Expansion,Artificial Expansion,None of these,Expansion in area is called _____, :Expansion in area is called Superficial Expansion,11.1
39, ľ A)1 cubic meter,1 cubic meter,1 meter,1 centimeter,1 milli meter,None of these,A steel block with a volume of _____.might expand to A)002 cubic meters when the temperature is raised by 50 K. ," :The volume of a material changes by some fixed fractional amount. For example, a steel block with a volume of 1 cubic meter might expand to A)002 cubic meters when the temperature is raised by 50 K.",11.1
40, ľ B)Altimeter,Phonograph,Altimeter,Ammeter,Dynamometer,None of these,Which is used to measure altitudes and also used in aircrafts ?, :An altimeter or an altitude meter is an instrument used to measure the altitude of an object above a fixed level. The measurement of altitude is called altimetry.,11.1
41, ľ A)Radiometer,Radiometer,Sesimogrpah,Hydrometer,Radar,None of these,_____.measures the emission of Radiant Energy," :A radiometer or roentgenometer is a device for measuring the radiant flux (power) of electromagnetic radiation. Generally, a radiometer is an infrared radiation detector or ultraviolet detector.",11.1
42," ľ C)Mechanical energy, Electrical Energy","Sound waves , Mechanical energy","Electrical Energy, Mechanical energy","Mechanical energy, Electrical Energy","Mechanical energy, Sound Energy",None of these,Dynamo converts _____ into _____, :A dynamo is a device that converts mechanical energy into electrical energy,11.1
43, ľ D)Calorimeter,Periscope,Barometer,Chronometer,Calorimeter,None of these,Which of the following measures the quantity of heat ?," :A calorimeter is an object used for calorimetry, or the process of measuring the heat of chemical reactions or physical changes as well as heat capacity.",11.1
44, ľ B)Pressure of gases,Electrical power,Pressure of gases,Humidity in air,Curvatures of Surfaces,None of these,Manometer measures the _____..," :A manometer is an instrument that uses a column of liquid to measure pressure, although the term is currently often used to mean any pressure measuring instrument.",11.1
45, ľ A)Lactometer,Lactometer,Photometer,Odometer,Hygometer,None of these,Which instrument is used to determine the purity of milk ?," :An instrument for estimating the purity or richness of milk, as a measuring glass, a specific gravity bulb, or other apparatus.",11.1
46, ľ C)Voltmeter,Altimeter,Ammeter,Voltmeter,Chronometer,None of these,_____ measures the electrical potential difference between two points, :A voltmeter is an instrument used for measuring electrical potential difference between two points in an electric circuit. Analog voltmeters move a pointer across a scale in proportion to the voltage of the circuit.,11.1
47, ľ B)Tachometer,Telescope,Tachometer,Stereoscope,Periscope,None of these,Which instrument is used in measuring speeds of aeroplane and motor boats ?," :A tachometer is an instrument measuring the rotation speed of a shaft or disk, as in a motor or other machine. The device usually displays the revolutions per minute (RPM) on a calibrated analogue dial, but digital displays are increasingly common.",11.1
48, ľ C)specific gravity of liquids,measures humidity in air,measures sound under water,specific gravity of liquids,depth of ocean,None of these,Hydrometer measures the _____," :A hydrometer is an instrument that measures the specific gravity (relative density) of liquidsŚthe ratio of the density of the liquid to the density of water.A hydrometer is usually made of glass, and consists of a cylindrical stem and a bulb weighted with mercury or lead shot to make it float upright.",11.1
49, ľ D)Seismograph,Spherometer,Odometer,Salinometer,Seismograph,None of these,_____. measures the intensity of earthquake shocks," :Seismometers are instruments that measure motion of the ground, including those of seismic waves generated by earthquakes, volcanic eruptions, and other seismic sources. Records of seismic waves allow seismologists to map the interior of the Earth, and locate and measure the size of these different sources.",11.1
50, ľ A)Ammeter,Ammeter,Altimeter,Audiometer,Electrometer,None of these,Which is used to measures strength of electric current ?, :An ammeter is a measuring instrument used to measure the current in a circuit. Electric currents are measured in amperes,11.1
51, ľ B)Electric power,Electricity,Electric power,Detects presence of electric current,Blood pressure,None of these,Dynamometer is used to measures _____," :A dynamometer or ôdynoö for short, is a device for measuring force, torque, or power. For example, the power produced by an engine, motor .",11.1
52, ľ C)Hydrophone,Hydrometer,Hygrometer,Hydrophone,Odometer,None of these,Which is used to measures sound under water ?, :A hydrophone  is a microphone designed to be used underwater for recording or listening to underwater sound. Most hydrophones are based on a piezoelectric transducer that generates electricity when subjected to a pressure change.,11.1
53, ľ D)Phonograph,Microphone,Photometer,Periscope,Phonograph,None of these,_____.. is an instrument for producing sound, :The phonograph is a device invented in 1877 for the mechanical recording and reproduction of sound. In its later forms it is also called a gramophone,11.1
54, ľ D)All of these,Measure the speed,Record the speed,display the speed,All of these,None of these,Speedometer is used to _____., :A speedometer or a speed meter is a gauge that measures and displays the instantaneous speed of a vehicle.,11.1
55, ľ A)Microscope,Microscope,Microphone,Telescope,Endoscope,None of these,_____.. is used to obtain magnified view of small objects," :Microscope is an optical instrument used for viewing very small objects, such as mineral samples or animal or plant cells, typically magnified several hundred times.",11.1
56, ľ D)Intensity of Sound,Sound under water,Frequency,Pressure of gases,Intensity of Sound,None of these,Audiometer measures _____.., :Audiometer is an instrument for gauging and recording acuity of hearing also measures the Intensity of Sound,11.1
57, ľ C)Electroscope,Electrometer,Ammeter,Electroscope,Altimeter,None of these,Which is used to detects presence of electric charge ?," :An electroscope is an early scientific instrument that is used to detect the presence and magnitude of electric charge on a body. It was the first electrical measuring instrument. The first electroscope, a pivoted needle called the versorium, was invented by British physician William Gilbert around 1600.",11.1
58, ľ A)Salinity,Salinity,Purity,Impurity,Quantity,None of these,Salinometer determines _____.. of solution," :A salinometer is a device designed to measure the salinity, or dissolved salt content, of a solution",11.1
59, ľ B)Thermometer,Thermostat,Thermometer,Voltmeter,Galvanometer,None of these,_____.. is used for the measurement of temperature," :A thermometer is a device that measures temperature or a temperature gradient. A thermometer has two important elements: (1) a temperature sensor, (2) some means of converting this physical change into a numerical value",11.1
60, ľ C)Wattmeter,Ammeter,Anemometer,Wattmeter,Voltmeter,None of these,Which is used to measures the power of an electric circuit ?, :The wattmeter is an instrument for measuring the electric power (or the supply rate of electrical energy) in watts of any given circuit. Electromagnetic wattmeters are used for measurement of utility frequency and audio frequency power,11.1
61, ľ D)Both 1 and 2,Horizontal angles,Vertical angles,Critical angles,Both 1 and 2,None of these,Theodolite measures _____., :Theodolite is a surveying instrument with a rotating telescope for measuring horizontal and vertical angles,11.1
62, ľ A)Transponder,Transponder,Transducer,Transmitter,All of these,None of these,Which is used to receive and transmit a reply immediately ?, :Transponder is a device for receiving a radio signal and automatically transmitting a different signal.,11.1
63, ľ B)Magnetic flux,Altitudes,Magnetic flux,Angles,Refractive Indices,None of these,Flux meter is used to measures _____," :A Fluxmeter is an electronic integrating, digital display instrument. The Fluxmeter can be used not only for the measurement of the magnetic flux of permanent magnets, but also for quality control and sorting of magnetic products.",11.1
64, ľ D)Kymograph,Ohmmeter,Pyrometer,Electroenphalograph,Kymograph,None of these,Which of the following is used to records physiological movements graphically ?, :A kymograph (which means Ĺwave writerĺ) is a device that gives a graphical representation of spatial position over time in which a spatial axis represents time.,11.1
