num,correct,QuestionLink3,QuestionLink,category,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
24,b,https://imgur.com/lmApiSG,https://imgur.com/lmApiSG.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
25,b,https://imgur.com/p4coa4j,https://imgur.com/p4coa4j.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
26,b,https://imgur.com/0jvmLPG,https://imgur.com/0jvmLPG.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
27,d,https://imgur.com/qZ1cm30,https://imgur.com/qZ1cm30.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
28,a,https://imgur.com/ISOCOQO,https://imgur.com/ISOCOQO.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
29,c,https://imgur.com/L4AloJ1,https://imgur.com/L4AloJ1.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
30,a,https://imgur.com/c40I1bW,https://imgur.com/c40I1bW.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
1,c,https://imgur.com/Z87sn5Z,https://imgur.com/Z87sn5Z.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
2,c,https://imgur.com/cwS0BaI,https://imgur.com/cwS0BaI.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
3,c,https://imgur.com/OhKUVGR,https://imgur.com/OhKUVGR.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
4,b,https://imgur.com/MMMOSdo,https://imgur.com/MMMOSdo.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
5,a,https://imgur.com/ceZPMvW,https://imgur.com/ceZPMvW.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
6,c,https://imgur.com/mmRaceN,https://imgur.com/mmRaceN.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
7,b,https://imgur.com/sSgIE33,https://imgur.com/sSgIE33.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
8,a,https://imgur.com/43BPDRA,https://imgur.com/43BPDRA.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
9,c,https://imgur.com/lgzCNTD,https://imgur.com/lgzCNTD.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
10,c,https://imgur.com/UmwsKtZ,https://imgur.com/UmwsKtZ.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
11,d,https://imgur.com/8quYzhh,https://imgur.com/8quYzhh.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
12,b,https://imgur.com/7v4T1zV,https://imgur.com/7v4T1zV.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
13,c,https://imgur.com/5wRsN7W,https://imgur.com/5wRsN7W.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
14,a,https://imgur.com/CWzCArk,https://imgur.com/CWzCArk.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
15,a,https://imgur.com/RteSQeh,https://imgur.com/RteSQeh.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
16,a,https://imgur.com/ckc9tls,https://imgur.com/ckc9tls.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
17,d,https://imgur.com/JL0rCB2,https://imgur.com/JL0rCB2.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
18,b,https://imgur.com/yYnuvtg,https://imgur.com/yYnuvtg.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
19,d,https://imgur.com/B6ogsFl,https://imgur.com/B6ogsFl.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
20,b,https://imgur.com/UptF36I,https://imgur.com/UptF36I.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
21,a,https://imgur.com/qQTsZ4a,https://imgur.com/qQTsZ4a.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
22,c,https://imgur.com/SrIThf8,https://imgur.com/SrIThf8.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
23,b,https://imgur.com/lwpYHiT,https://imgur.com/lwpYHiT.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
24,b,https://imgur.com/lkYfRNN,https://imgur.com/lkYfRNN.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
25,d,https://imgur.com/gT2pG9P,https://imgur.com/gT2pG9P.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
26,a,https://imgur.com/5eFA5eP,https://imgur.com/5eFA5eP.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
27,a,https://imgur.com/JTszI24,https://imgur.com/JTszI24.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
28,d,https://imgur.com/StBz8Qc,https://imgur.com/StBz8Qc.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
29,c,https://imgur.com/AVOYO7T,https://imgur.com/AVOYO7T.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
30,d,https://imgur.com/JSTdyFR,https://imgur.com/JSTdyFR.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
