,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
85,a,https://i.imgur.com/2TwGMZR.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
86,c,https://i.imgur.com/DCslc0E.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
87,c,https://i.imgur.com/37j7P4m.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
88,a,https://i.imgur.com/VVekGDR.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
89,b,https://i.imgur.com/WK2jTj0.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
90,c,https://i.imgur.com/1gYqBFE.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
91,c,https://i.imgur.com/MP3WKEs.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
92,c,https://i.imgur.com/JQuSpt8.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
93,d,https://i.imgur.com/hiFQefM.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
94,a,https://i.imgur.com/kd1DTHu.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
95,d,https://i.imgur.com/BuCB6IY.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
96,d,https://i.imgur.com/4qOZ7WE.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
97,a,https://i.imgur.com/Cm8hvfC.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
98,a,https://i.imgur.com/LIzpM6h.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
99,a,https://i.imgur.com/aDKVmN0.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
100,d,https://i.imgur.com/NbJXgEc.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
