,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
41,a,https://i.imgur.com/K2wf5fO.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
42,a,https://i.imgur.com/mo5SVB2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
43,c,https://i.imgur.com/gETGbLR.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
44,c,https://i.imgur.com/HvoeJaw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
45,a,https://i.imgur.com/nIcPV2A.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
46,b,https://i.imgur.com/7TxwyEV.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
47,c,https://i.imgur.com/uIZkUvp.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
48,c,https://i.imgur.com/7L9hJn8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
49,b,https://i.imgur.com/tcdyr8X.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
50,a,https://i.imgur.com/pLHDPxx.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
51,b,https://i.imgur.com/Wp0Yi4J.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
52,b,https://i.imgur.com/UiPrHs2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
53,c,https://i.imgur.com/tK9xmPQ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
54,c,https://i.imgur.com/3JvhTgc.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
55,a,https://i.imgur.com/XJY47Uq.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
56,d,https://i.imgur.com/ysBBE9k.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
57,c,https://i.imgur.com/1k2pdW2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
58,c,https://i.imgur.com/0h5Xfut.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
59,c,https://i.imgur.com/vCeTUre.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
60,b,https://i.imgur.com/0tL1KdM.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
61,a,https://i.imgur.com/4nwYKj4.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
62,b,https://i.imgur.com/awZO78J.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
63,d,https://i.imgur.com/6vuUC2e.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
