,sl.no.,correct,Question_link,direction,explanation,section_type,optA,optB,optC,optD,optE,category,usedFor,lang,sources,name
196,209,b,https://i.imgur.com/7HMvhlV.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
197,210,b,https://i.imgur.com/0orfD9z.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
198,211,b,https://i.imgur.com/l0dF1Ck.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
199,212,b,https://i.imgur.com/sv2RGy8.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
200,213,b,https://i.imgur.com/fSBfAOm.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
201,214,b,https://i.imgur.com/ZjJBZk3.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
202,215,b,https://i.imgur.com/2nhD5lP.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
203,216,a,https://i.imgur.com/EqMbc1g.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
204,217,a,https://i.imgur.com/MiAb9p7.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
205,1,b,https://i.imgur.com/b0zw9b8.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
206,2,c,https://i.imgur.com/NLZw0xn.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
207,3,d,https://i.imgur.com/uC4xI4H.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
208,4,c,https://i.imgur.com/bZR29M7.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
209,5,a,https://i.imgur.com/2hQ42hr.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
210,6,c,https://i.imgur.com/oD6IHw8.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
211,7,a,https://i.imgur.com/SSdDHxV.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
212,8,b,https://i.imgur.com/jeojrd3.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
213,9,d,https://i.imgur.com/Bhd5RTe.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
214,10,d,https://i.imgur.com/BS0583B.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
215,11,c,https://i.imgur.com/t8tFrtj.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
216,12,a,https://i.imgur.com/95cKDai.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
217,13,b,https://i.imgur.com/JAOZUYT.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
218,14,c,https://i.imgur.com/2xXJ9kS.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
219,15,d,https://i.imgur.com/gNAZAk3.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
220,16,c,https://i.imgur.com/K11YJfQ.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
221,17,d,https://i.imgur.com/eXXypeq.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
222,18,c,https://i.imgur.com/LEt0U1t.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
223,19,c,https://i.imgur.com/0pjvN8C.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
224,20,c,https://i.imgur.com/nRWMffT.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
225,21,d,https://i.imgur.com/IMpvr8E.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
226,22,d,https://i.imgur.com/1LmLodp.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
227,23,c,https://i.imgur.com/rD8r2so.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
228,24,d,https://i.imgur.com/nzW1RFE.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
229,25,a,https://i.imgur.com/qc1Z7OL.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
230,26,b,https://i.imgur.com/g1mKl74.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
231,27,b,https://i.imgur.com/sf8fbwt.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
232,28,d,https://i.imgur.com/eh8rplO.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
233,29,b,https://i.imgur.com/mYKszeH.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
234,30,a,https://i.imgur.com/beWdwYU.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
235,31,d,https://i.imgur.com/wzbFZvx.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
236,32,a,https://i.imgur.com/Ejd5rrZ.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
237,33,c,https://i.imgur.com/acw4aiL.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
238,34,b,https://i.imgur.com/o1eSDJH.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
239,35,a,https://i.imgur.com/45uFfJp.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
240,36,c,https://i.imgur.com/YrfXXgz.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
241,37,c,https://i.imgur.com/tN5oaCi.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
242,38,a,https://i.imgur.com/nDwuenJ.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
243,39,a,https://i.imgur.com/j5REU1Q.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
244,40,b,https://i.imgur.com/pqFyd7b.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
245,41,a,https://i.imgur.com/vavc1jW.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
246,42,d,https://i.imgur.com/fiDMQRx.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
247,43,a,https://i.imgur.com/0Mj0GQT.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
248,44,b,https://i.imgur.com/hZzMlm2.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
249,45,c,https://i.imgur.com/GaFsMUg.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
250,46,c,https://i.imgur.com/2Chd3Zd.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
251,47,b,https://i.imgur.com/6y0J1wR.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
252,48,d,https://i.imgur.com/BLue2u4.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
253,49,a,https://i.imgur.com/Hv6K11u.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
254,50,b,https://i.imgur.com/uOAElzb.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
255,51,d,https://i.imgur.com/daAfkCE.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
256,52,a,https://i.imgur.com/GsujA81.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
257,53,c,https://i.imgur.com/xAISJdD.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
258,54,a,https://i.imgur.com/qA6SPsI.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
259,55,d,https://i.imgur.com/11EfA1F.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
260,56,d,https://i.imgur.com/RA79UY7.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
261,57,b,https://i.imgur.com/1s4bc7p.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
262,58,b,https://i.imgur.com/VKp93pe.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
263,59,c,https://i.imgur.com/eKPXD5S.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
264,60,b,https://i.imgur.com/PK54xLQ.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
265,61,d,https://i.imgur.com/Jg1cvUQ.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
266,63,a,https://i.imgur.com/gaKyuc9.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
267,64,d,https://i.imgur.com/GDU5xNf.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
268,65,d,https://i.imgur.com/5cFzl8W.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
269,66,b,https://i.imgur.com/wQe34Tj.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
270,67,b,https://i.imgur.com/SVR6Fjn.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
271,68,d,https://i.imgur.com/ii6ASrp.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
272,69,d,https://i.imgur.com/A5M5J17.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
273,70,a,https://i.imgur.com/kCIL8LL.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
274,71,b,https://i.imgur.com/iqfXdv9.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
275,72,d,https://i.imgur.com/pKrDpr3.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
276,73,a,https://i.imgur.com/C91s7Xc.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
277,74,d,https://i.imgur.com/sU3X4cy.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
278,75,b,https://i.imgur.com/mlWGug9.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
279,76,c,https://i.imgur.com/YikpiI0.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
280,77,b,https://i.imgur.com/uIEVUwS.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
281,78,c,https://i.imgur.com/3oNqM3U.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
282,79,a,https://i.imgur.com/YZ2dsKb.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
283,80,b,https://i.imgur.com/a4uzes8.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
284,81,c,https://i.imgur.com/y613Ko8.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
285,82,b,https://i.imgur.com/oJWk6Eu.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
286,83,b,https://i.imgur.com/P9EXzIN.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
287,84,a,https://i.imgur.com/USlOk6i.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
288,85,b,https://i.imgur.com/lrjHZZO.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
289,86,c,https://i.imgur.com/a4jb41v.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
290,87,c,https://i.imgur.com/ljVRtKn.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
291,88,d,https://i.imgur.com/rAi4mqN.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
292,89,a,https://i.imgur.com/X971Znd.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
293,91,a,https://i.imgur.com/Kohbipd.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
294,92,c,https://i.imgur.com/7FihCbK.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
295,93,d,https://i.imgur.com/JVitOZs.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
296,94,b,https://i.imgur.com/W9Exetb.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
297,95,d,https://i.imgur.com/1zs0h9K.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
298,97,b,https://i.imgur.com/s9zv0j1.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
299,98,d,https://i.imgur.com/QgdNQ45.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
300,99,b,https://i.imgur.com/uAd9AjI.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
301,100,a,https://i.imgur.com/vTSFQ4C.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
302,101,b,https://i.imgur.com/pGSb1DT.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
303,102,a,https://i.imgur.com/8kZzrJs.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
304,103,c,https://i.imgur.com/AajO9nW.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
305,104,d,https://i.imgur.com/KAyTYyR.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
306,105,b,https://i.imgur.com/o8LGD1O.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
307,106,c,https://i.imgur.com/7G79kBW.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
308,107,d,https://i.imgur.com/KzF4BC2.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
309,108,d,https://i.imgur.com/4jWV5dK.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
310,109,d,https://i.imgur.com/0jEqJ7r.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
311,110,a,https://i.imgur.com/0ruf8wo.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
312,112,b,https://i.imgur.com/NnF6Dmb.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
313,113,d,https://i.imgur.com/fBEAqjp.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
314,114,b,https://i.imgur.com/ddQZhv4.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
315,115,b,https://i.imgur.com/LZXfZDW.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
316,116,c,https://i.imgur.com/OrxJCpI.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
317,117,c,https://i.imgur.com/lj0arFO.png,,,locopilot_electrical,A,B,C,D,E,6.1,ALP,Hindi,RBD,DC Generator
318,1,c,https://i.imgur.com/piBObMY.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
319,2,d,https://i.imgur.com/5u46HR2.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
320,3,d,https://i.imgur.com/t7TZ4y1.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
321,4,b,https://i.imgur.com/vrwtXHh.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
322,5,a,https://i.imgur.com/JJ0AmMK.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
323,6,b,https://i.imgur.com/sEUuB9B.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
324,7,a,https://i.imgur.com/uhTH2jL.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
325,8,c,https://i.imgur.com/3BIxNLk.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
326,9,a,https://i.imgur.com/WrVTBiI.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
327,10,c,https://i.imgur.com/i1wWvtu.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
328,11,a,https://i.imgur.com/KYYSLEv.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
329,12,c,https://i.imgur.com/AqZsfEI.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
330,13,a,https://i.imgur.com/jddR6IG.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
331,14,b,https://i.imgur.com/syQbYNL.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
332,15,a,https://i.imgur.com/uTdg7gS.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
333,17,d,https://i.imgur.com/a894eEw.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
334,18,a,https://i.imgur.com/LGozad2.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
335,19,c,https://i.imgur.com/clDCvGG.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
336,20,a,https://i.imgur.com/mx4qoUD.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
337,21,a,https://i.imgur.com/4hkKOVG.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
338,22,c,https://i.imgur.com/JRg8XuN.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
339,23,d,https://i.imgur.com/7XkmY0x.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
340,24,b,https://i.imgur.com/Ywq8rGh.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
341,25,a,https://i.imgur.com/bV5ejDc.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
342,26,b,https://i.imgur.com/s6mLUzw.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
343,27,b,https://i.imgur.com/mYXbXC7.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
344,28,d,https://i.imgur.com/V2fIhX7.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
345,29,a,https://i.imgur.com/kAVHdxq.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
346,30,d,https://i.imgur.com/DOoE9nW.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
347,31,c,https://i.imgur.com/Nz2heM4.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
348,32,d,https://i.imgur.com/cnTYwaQ.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
349,33,b,https://i.imgur.com/IUU1lAf.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
350,34,a,https://i.imgur.com/hP5h16t.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
351,35,b,https://i.imgur.com/YMofAlv.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
352,36,d,https://i.imgur.com/2cWKWTv.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
353,37,d,https://i.imgur.com/P7SfhX7.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
354,38,b,https://i.imgur.com/6UOuh8B.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
355,39,d,https://i.imgur.com/Cyn2TH6.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
356,40,c,https://i.imgur.com/I2H8ET1.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
357,41,c,https://i.imgur.com/uD8oCrr.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
358,42,c,https://i.imgur.com/gCIFxAQ.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
359,43,c,https://i.imgur.com/PLg6yO6.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
360,44,b,https://i.imgur.com/sosFa2P.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
361,45,c,https://i.imgur.com/uNi6rNV.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
362,46,a,https://i.imgur.com/xVV3jSy.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
363,47,c,https://i.imgur.com/gf5RYTh.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
364,48,c,https://i.imgur.com/ejMm3iU.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
365,49,b,https://i.imgur.com/lsx6Fha.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
366,50,b,https://i.imgur.com/AaDnZTF.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
367,51,d,https://i.imgur.com/Tgff1FH.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
368,52,c,https://i.imgur.com/NlMk6MS.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
369,53,c,https://i.imgur.com/DNocgvY.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
370,54,b,https://i.imgur.com/Nt8Co71.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
371,55,d,https://i.imgur.com/bbbqIZD.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
372,56,d,https://i.imgur.com/mPJcqCc.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
373,57,d,https://i.imgur.com/SvbwsIv.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
374,58,a,https://i.imgur.com/8JCFcLX.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
375,59,b,https://i.imgur.com/eHPT3g3.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
376,60,c,https://i.imgur.com/uOShoIp.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
377,61,d,https://i.imgur.com/MtseUTR.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
378,62,b,https://i.imgur.com/2205IVY.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
379,63,b,https://i.imgur.com/YpaN3EX.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
380,64,c,https://i.imgur.com/5JvdbdI.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
381,65,c,https://i.imgur.com/LFyO8Z9.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
382,66,d,https://i.imgur.com/7s92KAO.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
383,67,b,https://i.imgur.com/P8QgLwf.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
384,68,d,https://i.imgur.com/wJdHxVc.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
385,69,a,https://i.imgur.com/NhhRzpx.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
386,70,a,https://i.imgur.com/cmD8Jwy.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
387,71,a,https://i.imgur.com/JFyEldp.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
388,72,d,https://i.imgur.com/AZaOxNy.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
389,73,b,https://i.imgur.com/Md74P9h.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
390,74,d,https://i.imgur.com/qJa3JPL.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
391,75,c,https://i.imgur.com/OOoWfoX.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
392,77,b,https://i.imgur.com/jqERqtX.png,,,locopilot_electrical,A,B,C,D,E,7.1,ALP,Hindi,RBD,DC MOTOR
