sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,optE,category,usedFor,lang,source,name
4,1,https://i.imgur.com/YTjwz4y.png,,1,https://i.imgur.com/Ay8YKB6.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
5,2,https://i.imgur.com/PjQB2JD.png,,10,https://i.imgur.com/lwCW0ZZ.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
6,2,https://i.imgur.com/GmriUdC.png,,1,https://i.imgur.com/LFGAY2R.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
7,3,https://i.imgur.com/pObyCqR.png,,1,https://i.imgur.com/GXZs6Bi.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
8,3,https://i.imgur.com/GWz1uJG.png,,1,https://i.imgur.com/EQISUMO.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
9,1,https://i.imgur.com/R7p2VZX.png,,1,https://i.imgur.com/O7CjsBY.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
10,3,https://i.imgur.com/i2zapwB.png,,5,https://i.imgur.com/cfZSLGY.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
11,3,https://i.imgur.com/J2IA79R.png,,1,https://i.imgur.com/IMhwn0n.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
12,1,https://i.imgur.com/NLWcz85.png,,1,https://i.imgur.com/srWkVXV.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
13,3,https://i.imgur.com/wXweaHu.png,,1,https://i.imgur.com/v9RIfKg.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
14,4,https://i.imgur.com/HsuGP25.png,,1,https://i.imgur.com/XzF2WPT.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
15,4,https://i.imgur.com/SChzB0i.png,,1,https://i.imgur.com/EWd9xWY.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
16,2,https://i.imgur.com/91PL0I5.png,,1,https://i.imgur.com/WEa9c8B.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
1,4,https://i.imgur.com/OHlpHDp.png,,2,https://i.imgur.com/9fXsU5X.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
2,1,https://i.imgur.com/kJZARI7.png,,2,https://i.imgur.com/AyaozzB.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
3,3,https://i.imgur.com/QhEJH1J.png,,1,https://i.imgur.com/z60cFUY.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
4,4,https://i.imgur.com/iEqpNYV.png,,1,https://i.imgur.com/airbM0e.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
5,1,https://i.imgur.com/ujv8bE1.png,,1,https://i.imgur.com/R1Ff1Yj.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
6,4,https://i.imgur.com/JRRIWL3.png,,1,https://i.imgur.com/KLGhopk.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
7,2,https://i.imgur.com/xraIY6a.png,,1,https://i.imgur.com/8xVod4S.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
8,1,https://i.imgur.com/1AWTfm7.png,,2,https://i.imgur.com/CVCQili.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
9,1,https://i.imgur.com/85TyYKI.png,,2,https://i.imgur.com/CAbJNXq.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
10,1,https://i.imgur.com/iKV9rnl.png,,1,https://i.imgur.com/LUW7FN6.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
11,3,https://i.imgur.com/7W2MQKk.png,,8,https://i.imgur.com/C9cswan.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
12,4,https://i.imgur.com/0qFNXik.png,,1,https://i.imgur.com/950G2I9.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
13,2,https://i.imgur.com/j7DXJHe.png,,1,https://i.imgur.com/EqsKJL0.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
14,1,https://i.imgur.com/sm0cYwt.png,,1,https://i.imgur.com/qLh6Nqy.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
15,1,https://i.imgur.com/AI4Y8o0.png,,1,https://i.imgur.com/Da1Aoip.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
16,3,https://i.imgur.com/OuZIhPx.png,,1,https://i.imgur.com/yUn4W94.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
17,3,https://i.imgur.com/qxP6knl.png,,1,https://i.imgur.com/ScsaVMZ.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
18,4,https://i.imgur.com/gPcgW8G.png,,1,https://i.imgur.com/RQimTpq.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
19,1,https://i.imgur.com/pn8uRfL.png,,1,https://i.imgur.com/2uvsHB7.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
20,1,https://i.imgur.com/PC1c2m3.png,,1,https://i.imgur.com/8aJyJ64.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
1,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (01).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (01).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (02).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (02).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (03).png,,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (03).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (04).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (04).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
5,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (05).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (05).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
6,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (06).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (06).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
7,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (07).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (07).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
8,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (08).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (08).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
9,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (09).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (09).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
10,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (10).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (10).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
11,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (11).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (11).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
12,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (12).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (12).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
13,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (13).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (13).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
14,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (14).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (14).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
15,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (15).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (15).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
16,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (16).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (16).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
17,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (17).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (17).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
18,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (18).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (18).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
19,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (19).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (19).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
21,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (20).png,,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (20).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
22,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (21).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (21).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
23,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (22).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (22).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
24,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (23).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (23).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
25,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (24).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (24).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
26,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (25).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (25).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
27,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (26).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (26).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
28,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (27).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (27).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
29,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (28).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (28).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
30,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (29).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (29).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
31,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (30).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (30).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
32,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (31).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (31).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
33,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (32).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (32).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
34,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (33).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (33).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
35,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (34).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (34).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (35).png,,"1,4",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (35).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (36).png,,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (36).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (37).png,,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (37).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (38).png,,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (38).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
5,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (39).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (39).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
6,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (40).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (40).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
7,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (41).png,,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (41).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (42).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (42).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (43).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (43).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (44).png,,"1,5",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (44).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (45).png,,5,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (45).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (46).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (46).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (47).png,,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (47).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
5,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (48).png,,5,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (48).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
6,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (49).png,,5,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (49).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (50).png,,6,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (50).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (51).png,,6,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (51).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (52).png,,6,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (52).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (53).png,,6,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (53).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
5,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (54).png,,"1,6",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (54).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
7,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (55).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (55).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
8,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (56).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (56).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
9,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (57).png,,6,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (57).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (58).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (58).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (59).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (59).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (60).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (60).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (61).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (61).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
5,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (62).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (62).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
6,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (63).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (63).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
7,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (64).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (64).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
8,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (65).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (65).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
9,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (66).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (66).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
10,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (67).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (67).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
11,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (68).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (68).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
12,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (69).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (69).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
13,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (70).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (70).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (71).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (71).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (72).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (72).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (73).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (73).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (74).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (74).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
5,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (75).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (75).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
6,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (76).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (76).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
7,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (77).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (77).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
16,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (78).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (78).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
17,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (79).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (79).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
1,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (80).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (80).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
2,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (81).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (81).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
3,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (82).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (82).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
4,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (83).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (83).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
5,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (84).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (84).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
6,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (85).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (85).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
7,2,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (86).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (86).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
8,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (87).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (87).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
9,4,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (88).png,,"1,3",https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (88).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
10,3,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentageque/1 (89).png,,1,https://s3.amazonaws.com/trialgeometry2/kiranmathspercentagesol/1 (89).png,Maths,A,B,C,D,,10.1,ssc,Bi,Kiran Maths,Percentage
