sl.no.,correct,QuestionLink,direction,explanation,section_type,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,sl. No.
67,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/3 (67).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/3 (67).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
68,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/3 (68).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/3 (68).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
69,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/3 (69).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/3 (69).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
70,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/3 (70).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/3 (70).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
1,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (01).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (01).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
2,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (02).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (02).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
3,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (03).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (03).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
4,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (04).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (04).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
5,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (05).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (05).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
6,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (06).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (06).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
7,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (07).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (07).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
8,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (08).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (08).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
9,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (09).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (09).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
11,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (10).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (10).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
12,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (11).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (11).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
13,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (12).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (12).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
14,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (13).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (13).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
15,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (14).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (14).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
16,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (15).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (15).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
17,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (16).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (16).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
18,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (17).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (17).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
19,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (18).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (18).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
20,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (19).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (19).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
21,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (20).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (20).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
22,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (21).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (21).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
23,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (22).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (22).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
24,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (23).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (23).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
25,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (24).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (24).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
26,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (25).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (25).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
27,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (26).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (26).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
28,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (27).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (27).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
29,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (28).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (28).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
30,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (29).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (29).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
31,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (30).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (30).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
32,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (31).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (31).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
33,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (32).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (32).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
34,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (33).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (33).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
35,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (34).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (34).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
36,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (35).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (35).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
37,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (36).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (36).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
38,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (37).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (37).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
39,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (38).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (38).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
40,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (39).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (39).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
41,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (40).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (40).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
42,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (41).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (41).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
43,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (42).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (42).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
44,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (43).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (43).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
45,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (44).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (44).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
46,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (45).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (45).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
47,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (46).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (46).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
48,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (47).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (47).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
49,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (48).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (48).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
51,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (50).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (50).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
52,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (51).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (51).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
54,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (53).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (53).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
55,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (54).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (54).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
56,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (55).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (55).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
57,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (56).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (56).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
58,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (57).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (57).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
59,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (58).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (58).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
60,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (59).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (59).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
61,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (60).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (60).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
62,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (61).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (61).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
63,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (62).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (62).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
64,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (63).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (63).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
65,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (64).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (64).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
66,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (65).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (65).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
67,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (66).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (66).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
68,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (67).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (67).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
69,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (68).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (68).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
70,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (69).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (69).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
71,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (70).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (70).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
72,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (71).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (71).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
73,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (72).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (72).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
74,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (73).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (73).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
75,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (74).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (74).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
76,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (75).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (75).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
77,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (76).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (76).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
78,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (77).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (77).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
79,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/4 (78).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/4 (78).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
1,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (01).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (01).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
2,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (02).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (02).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
3,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (03).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (03).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
4,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (04).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (04).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
5,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (05).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (05).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
6,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (06).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (06).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
7,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (07).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (07).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
8,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (08).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (08).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
10,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (09).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (09).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
11,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (10).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (10).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
12,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (11).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (11).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
13,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (12).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (12).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
14,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (13).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (13).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
15,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (14).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (14).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
16,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (15).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (15).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
17,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (16).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (16).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
18,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (17).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (17).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
20,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (18).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (18).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
21,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (19).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (19).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
22,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (20).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (20).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
23,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 ques/5 (21).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer ch 1.3 sol/5 (21).png,GK,1.3,,,A,B,C,D,,RRB,Bi,Kiran,Modern Indian History,
