sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,Unnamed: 18,Unnamed: 19
97,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (97).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (97).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
98,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (98).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (98).png,Maths_IIT,10.1,,,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
1,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (01).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (01).png,Maths_IIT,11.1,5,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
2,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (02).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (02).png,Maths_IIT,11.1,5,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
3,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (03).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (03).png,Maths_IIT,11.1,5,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
4,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (04).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (04).png,Maths_IIT,11.1,5,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
5,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (05).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (05).png,Maths_IIT,11.1,5,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
6,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (06).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (06).png,Maths_IIT,11.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
7,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (07).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (07).png,Maths_IIT,11.1,5,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
8,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (08).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (08).png,Maths_IIT,11.1,5,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
10,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (10).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (10).png,Maths_IIT,11.1,5,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
11,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (11).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (11).png,Maths_IIT,11.1,5,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
12,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (12).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (12).png,Maths_IIT,11.1,5,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
13,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (13).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (13).png,Maths_IIT,11.1,5,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
14,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (14).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (14).png,Maths_IIT,11.1,5,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
15,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (15).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (15).png,Maths_IIT,11.1,5,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
16,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (16).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (16).png,Maths_IIT,11.1,5,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
17,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (17).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (17).png,Maths_IIT,11.1,5,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
18,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (18).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (18).png,Maths_IIT,11.1,5,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
19,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (19).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (19).png,Maths_IIT,11.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
20,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (20).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (20).png,Maths_IIT,11.1,5,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
21,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (21).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (21).png,Maths_IIT,11.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
22,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (22).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (22).png,Maths_IIT,11.1,10,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
23,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (23).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (23).png,Maths_IIT,11.1,5,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
24,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (24).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (24).png,Maths_IIT,11.1,,,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
25,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (25).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (25).png,Maths_IIT,11.1,5,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
26,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (26).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (26).png,Maths_IIT,11.1,3,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
27,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (27).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (27).png,Maths_IIT,11.1,3,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
28,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (28).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (28).png,Maths_IIT,11.1,3,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
29,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (29).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (29).png,Maths_IIT,11.1,9,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
30,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (30).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (30).png,Maths_IIT,11.1,4,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
31,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (31).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (31).png,Maths_IIT,11.1,4,M,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
32,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (32).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (32).png,Maths_IIT,11.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
33,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (33).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (33).png,Maths_IIT,11.1,,,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
34,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (34).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (34).png,Maths_IIT,11.1,,,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
35,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (35).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (35).png,Maths_IIT,11.1,4,E,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
36,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (36).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (36).png,Maths_IIT,11.1,,,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
37,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (37).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (37).png,Maths_IIT,11.1,5,D,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
38,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 11 QUE/1 (38).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 11 SOL/1 (38).png,Maths_IIT,11.1,,,A,B,C,D,,JEE,Eng,Wiley Brand,Cartesian Coordinates and Straight lines,,
1,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (01).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (01).png,Maths_IIT,12.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
2,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (02).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (02).png,Maths_IIT,12.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
3,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (03).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (03).png,Maths_IIT,12.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
4,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (04).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (04).png,Maths_IIT,12.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
5,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (05).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (05).png,Maths_IIT,12.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
6,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (06).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (06).png,Maths_IIT,12.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
7,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (07).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (07).png,Maths_IIT,12.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
8,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (08).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (08).png,Maths_IIT,12.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
9,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (09).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (09).png,Maths_IIT,12.1,4,M,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
10,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (10).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (10).png,Maths_IIT,12.1,5,M,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
11,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (11).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (11).png,Maths_IIT,12.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
12,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (12).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (12).png,Maths_IIT,12.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
13,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (13).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (13).png,Maths_IIT,12.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
14,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (14).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (14).png,Maths_IIT,12.1,4,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
15,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (15).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (15).png,Maths_IIT,12.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
16,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (16).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (16).png,Maths_IIT,12.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
17,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (17).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (17).png,Maths_IIT,12.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
18,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (18).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (18).png,Maths_IIT,12.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
19,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (19).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (19).png,Maths_IIT,12.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
20,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (20).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (20).png,Maths_IIT,12.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
21,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (21).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (21).png,Maths_IIT,12.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
23,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (23).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (23).png,Maths_IIT,12.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
24,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (24).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (24).png,Maths_IIT,12.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
25,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (25).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (25).png,Maths_IIT,12.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
26,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (26).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (26).png,Maths_IIT,12.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
27,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (27).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (27).png,Maths_IIT,12.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
28,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (28).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (28).png,Maths_IIT,12.1,5,M,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
29,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (29).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (29).png,Maths_IIT,12.1,5,M,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
30,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (30).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (30).png,Maths_IIT,12.1,4,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
31,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (31).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (31).png,Maths_IIT,12.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
32,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (32).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (32).png,Maths_IIT,12.1,2,D,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
33,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (33).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (33).png,Maths_IIT,12.1,1,D,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
34,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (34).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (34).png,Maths_IIT,12.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
35,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 QUe/1 (35).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 12 sol/1 (35).png,Maths_IIT,12.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Pair Of Straight line,,
1,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (01).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (01).png,Maths_IIT,13.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
2,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (02).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (02).png,Maths_IIT,13.1,11,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
3,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (03).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (03).png,Maths_IIT,13.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
4,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (04).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (04).png,Maths_IIT,13.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
5,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (05).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (05).png,Maths_IIT,13.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
6,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (06).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (06).png,Maths_IIT,13.1,11,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
7,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (07).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (07).png,Maths_IIT,13.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
8,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (08).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (08).png,Maths_IIT,13.1,8,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
9,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (09).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (09).png,Maths_IIT,13.1,9,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
10,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (10).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (10).png,Maths_IIT,13.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
11,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (11).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (11).png,Maths_IIT,13.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
12,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (12).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (12).png,Maths_IIT,13.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
13,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (13).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (13).png,Maths_IIT,13.1,10,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
14,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (14).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (14).png,Maths_IIT,13.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
16,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 QUESTION/1 (16).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 13 SOL/1 (16).png,Maths_IIT,13.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Circle,,
