sl.no.,correct,QuestionLink,direction,explanation,sectionType,optA,optB,optC,optD,category,usedFor,lang,source,name
65,a,https://i.imgur.com/HC7PlBM.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
67,b,https://i.imgur.com/SRzf1L3.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
68,d,https://i.imgur.com/25S7hpi.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
69,d,https://i.imgur.com/Xlvci6B.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
70,b,https://i.imgur.com/z34HI8j.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
71,d,https://i.imgur.com/6kknZxQ.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
72,c,https://i.imgur.com/RcXkw3K.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
73,c,https://i.imgur.com/gngXZjZ.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
74,c,https://i.imgur.com/oaSopAo.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
75,d,https://i.imgur.com/xcwROR5.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
1,2,https://i.imgur.com/FaQ7EDZ.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/UUIHA1P.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
2,3,https://i.imgur.com/HoFY3sg.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/GvVXmPn.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
3,4,https://i.imgur.com/TlKpVlW.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/2w7YH9D.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
4,4,https://i.imgur.com/LeLUVSk.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/eUwoNv0.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
5,4,https://i.imgur.com/l8mTl2U.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/2wiBh4F.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
6,2,https://i.imgur.com/DIA9Hve.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/mOrPpg3.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
7,3,https://i.imgur.com/E3RuDpY.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/zSWiwZR.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
8,4,https://i.imgur.com/M7wOSn6.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/S3vjW9n.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
9,4,https://i.imgur.com/sqhG3X8.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/bspzAih.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
10,2,https://i.imgur.com/U2Nt3pY.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Yxix0lA.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
11,4,https://i.imgur.com/1kpfiKf.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/QyOWEoh.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
12,3,https://i.imgur.com/cW1mZkH.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/wHOAx10.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
13,2,https://i.imgur.com/3kmHWsH.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/b3kvVE0.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
14,3,https://i.imgur.com/phLKY3u.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/EGqKE5U.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
15,4,https://i.imgur.com/s28W6Eq.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Wp6bXih.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
16,1,https://i.imgur.com/TluZ7fu.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/57NJiR6.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
17,3,https://i.imgur.com/BdQuutk.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/EKbTm7e.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
18,4,https://i.imgur.com/kbZYf5N.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/wCqsdmH.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
19,3,https://i.imgur.com/xo5FVL6.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/2RwvtOd.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
20,3,https://i.imgur.com/aoVwxZr.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/0RAGadQ.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
21,4,https://i.imgur.com/w3zb4t6.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/M3QYFEh.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
22,4,https://i.imgur.com/VaoJJZ5.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/OvfVklB.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
23,4,https://i.imgur.com/vk0uag9.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/GkpMO60.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
24,1,https://i.imgur.com/TeMcJNP.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Yv6LFgQ.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
25,4,https://i.imgur.com/0auND7B.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/xCCCAsx.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
26,3,https://i.imgur.com/FJlm9k3.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/kHmv1gG.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
27,1,https://i.imgur.com/X9ynNzj.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/XcChjHT.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
28,4,https://i.imgur.com/t0R4Aat.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/sjuvtQK.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
29,4,https://i.imgur.com/yblHGHq.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/00Ceg4v.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
30,3,https://i.imgur.com/iyMp4tT.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/vZtvkGL.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
31,3,https://i.imgur.com/jTXvnuF.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/KsiPwty.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
32,3,https://i.imgur.com/Ae3cm0v.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/52jXI9X.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
33,4,https://i.imgur.com/sT3kSD6.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/QLTvJOR.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
34,4,https://i.imgur.com/vpmy0qw.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/QOZfeZz.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
35,2,https://i.imgur.com/Rp86cfB.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/xw60g2A.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
36,4,https://i.imgur.com/sUupl53.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/e2jJt5l.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
37,2,https://i.imgur.com/91ihZGd.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/K8OzV7q.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
38,4,https://i.imgur.com/ACRDG6z.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/BKljMI9.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
39,3,https://i.imgur.com/qFbsx4j.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/gKEukrq.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
40,4,https://i.imgur.com/d8OWXbK.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/8WpAxpS.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
41,1,https://i.imgur.com/0DXRdh8.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/eKjpbp7.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
42,2,https://i.imgur.com/K8ViuPs.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/NZzhDew.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
43,1,https://i.imgur.com/0APtml3.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/KZReWOA.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
44,4,https://i.imgur.com/SLNQDI3.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/IlzmQrG.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
45,1,https://i.imgur.com/MaFNzvf.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/eXuLXQU.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
46,4,https://i.imgur.com/oQV6sfy.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/8zaCbNo.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
47,4,https://i.imgur.com/oBTg0tg.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Mm7f362.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
48,3,https://i.imgur.com/d5SUnVE.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/gafnN7j.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
49,4,https://i.imgur.com/BI02VRP.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/vtH7wGA.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
53,2,https://i.imgur.com/tipNWZc.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/PJqA3Fr.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
54,4,https://i.imgur.com/yWdDpEB.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/PjIENo1.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
55,4,https://i.imgur.com/DO6oCra.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/HfzrWAI.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
56,1,https://i.imgur.com/6HQrEE8.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/UGL6YZS.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
57,4,https://i.imgur.com/AqQK9iY.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/bRMaiLF.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
58,4,https://i.imgur.com/PuoxQwu.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/sBuDo4l.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
59,4,https://i.imgur.com/FX9PsaE.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/NkSgAbY.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
60,1,https://i.imgur.com/CW7R3qr.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/2i46byt.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
61,4,https://i.imgur.com/KwR28Ph.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/F5bDpF5.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
62,4,https://i.imgur.com/FLXtGPv.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/onIUYw2.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
63,4,https://i.imgur.com/XoDC59X.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/L1FHVAd.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
64,3,https://i.imgur.com/JmlqFo4.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/UbDmS2Q.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
65,1,https://i.imgur.com/UoBZ7xq.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/u5WhAft.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
66,3,https://i.imgur.com/J7dVwiM.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/3o1Qz02.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
67,2,https://i.imgur.com/aWsGpSI.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/XUBCgx1.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
68,2,https://i.imgur.com/LvWZgZQ.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/RnLtZWo.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
69,1,https://i.imgur.com/gklImm4.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/9D4zi1P.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
70,4,https://i.imgur.com/EWt70ml.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/s3oBvp1.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
71,4,https://i.imgur.com/AgdQHVU.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/JyPJdpE.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
72,1,https://i.imgur.com/SV114bS.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/wvoqQW7.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
73,1,https://i.imgur.com/aWsRIAt.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/3aEM9C7.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
74,3,https://i.imgur.com/4sobMSK.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/oz1Dk1U.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
75,1,https://i.imgur.com/1cnH9Fx.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/mOBh67H.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
76,4,https://i.imgur.com/RUFu8ay.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/rvL9a2A.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
77,3,https://i.imgur.com/R5WXPmj.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/gX3OvPs.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
78,4,https://i.imgur.com/4NjwK0c.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/wvhIZdW.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
79,4,https://i.imgur.com/neaYB0q.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/xycwMI1.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
80,4,https://i.imgur.com/YwDA89i.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/EE8f6ur.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
81,3,https://i.imgur.com/sbrp8Fp.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/te4NDJA.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
82,3,https://i.imgur.com/G9YpQnQ.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/cLnRDc8.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
83,2,https://i.imgur.com/eOvZE8g.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/dgcFrU1.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
84,4,https://i.imgur.com/pjpEfHT.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/vOekm0Q.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
85,4,https://i.imgur.com/gMQigHQ.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/aUEebKi.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
86,3,https://i.imgur.com/cDHdQlx.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/er3Umig.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
87,4,https://i.imgur.com/d5Q3u0H.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/iGXDNcc.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
88,2,https://i.imgur.com/rQmDjhT.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/WCVAJYi.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
89,2,https://i.imgur.com/1wrz4IF.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/ZoXsZMF.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
90,4,https://i.imgur.com/pP4yg56.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/iFrrRGa.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
91,2,https://i.imgur.com/Mp1ifpZ.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/uheNBav.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
92,3,https://i.imgur.com/z7b0rnq.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/xI50E7Q.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
93,4,https://i.imgur.com/SV3fHzB.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/xUSsgVY.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
94,1,https://i.imgur.com/EK51sXX.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/ZwpDUR2.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
95,4,https://i.imgur.com/0hxAL6H.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Uonks1q.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
96,4,https://i.imgur.com/U45kCUP.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/2Xh1D37.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
97,3,https://i.imgur.com/tQFuEDV.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/R6yAp3d.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
98,2,https://i.imgur.com/AUXtTaU.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/tVAf0eH.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
99,2,https://i.imgur.com/LuBQ9C0.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/Ub7R4LQ.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
100,4,https://i.imgur.com/o0fa6jA.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/K3GXMHh.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
101,3,https://i.imgur.com/qerQ74i.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/G15l43U.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
102,4,https://i.imgur.com/HgNqluE.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/PTH6dKB.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
103,4,https://i.imgur.com/fkziwJK.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/gw90rt4.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
104,2,https://i.imgur.com/tsLwG0S.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/eKSpCgA.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
105,1,https://i.imgur.com/Zz0u3Xq.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/lHe8RxD.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
106,4,https://i.imgur.com/7B8vAax.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/29z2qcQ.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
107,4,https://i.imgur.com/b3rYlP0.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/M7LEpKd.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
108,4,https://i.imgur.com/j5zxnmV.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/XpNY4wB.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
109,4,https://i.imgur.com/1KeLojx.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/ifJAxq8.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
110,3,https://i.imgur.com/hVA9RDi.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/EsDn5hZ.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
111,4,https://i.imgur.com/HaGOeYj.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/cysVSNR.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
112,4,https://i.imgur.com/YciIBJ0.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/0psTMOb.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
113,2,https://i.imgur.com/fb0e8FY.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/sQNuAUu.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
114,2,https://i.imgur.com/UXKXMeB.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/qLcvwYW.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
115,4,https://i.imgur.com/VG3f4Wm.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/MgwWMZ3.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
116,1,https://i.imgur.com/9Sd5Qcb.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/7pfefzW.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
117,2,https://i.imgur.com/4k7DmUi.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/R15eSR0.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
118,2,https://i.imgur.com/RPqfX6K.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/GKmZF3C.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
119,3,https://i.imgur.com/WHYD9c6.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/qRqNAZ7.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
120,3,https://i.imgur.com/m43jRM6.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/BhJfiPw.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
121,3,https://i.imgur.com/GHywCLq.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/yJVqzem.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
122,2,https://i.imgur.com/H5PP4ls.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/IiPqF3d.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
123,4,https://i.imgur.com/5vmgw3e.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/dlBjIYg.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
124,3,https://i.imgur.com/ZQJ417i.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/RPf9cvD.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
125,1,https://i.imgur.com/GpQXsRY.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/C90dBAB.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
126,4,https://i.imgur.com/M0JFDs2.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/8KrvEba.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
127,4,https://i.imgur.com/EqX6gG3.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/NEIc1o8.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
128,1,https://i.imgur.com/XmVo147.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/q7Opn2h.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
129,4,https://i.imgur.com/sKTepl3.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/MDgJfis.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
130,4,https://i.imgur.com/5Mo6JD5.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/CW7BiMl.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
131,3,https://i.imgur.com/bQeZKdu.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/CHKDquk.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
132,1,https://i.imgur.com/CD4V7Ct.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/RAgp0Tt.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
133,2,https://i.imgur.com/ki7HZSJ.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/mA4HOXj.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
134,1,https://i.imgur.com/kMsqHXY.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/vqBWj8W.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
135,4,https://i.imgur.com/tFvPHyD.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/y2gzoz2.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
136,4,https://i.imgur.com/IonJVwv.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/lLWZW7N.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
137,2,https://i.imgur.com/a6UL0dq.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/YXRHhSf.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
138,3,https://i.imgur.com/QQAHXWM.png,https://i.imgur.com/hHAeGmn.png,https://i.imgur.com/5LimDd0.png,Reasoning,A,B,C,D,29.1,ssc,Bi,Vidya,Classification
