sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name
66,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan492 (2).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (19).png,Chemistry_NEET,10.1,4,E,A,B,C,D,,JEE,Eng,LL,Solid State
67,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan492 (3).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (20).png,Chemistry_NEET,10.1,4,M,A,B,C,D,,JEE,Eng,LL,Solid State
68,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan492 (4).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (21).png,Chemistry_NEET,10.1,4,M,A,B,C,D,,JEE,Eng,LL,Solid State
69,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan493 (1).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (22).png,Chemistry_NEET,10.1,4,M,A,B,C,D,,JEE,Eng,LL,Solid State
70,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan493 (2).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (23).png,Chemistry_NEET,10.1,4,D,A,B,C,D,,JEE,Eng,LL,Solid State
71,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan493 (3).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_27 (01).png,Chemistry_NEET,10.1,4,D,A,B,C,D,,JEE,Eng,LL,Solid State
72,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan493 (4).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_27 (02).png,Chemistry_NEET,10.1,4,M,A,B,C,D,,JEE,Eng,LL,Solid State
73,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan493 (5).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_27 (03).png,Chemistry_NEET,10.1,4,D,A,B,C,D,,JEE,Eng,LL,Solid State
74,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan493 (6).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_27 (04).png,Chemistry_NEET,10.1,4,D,A,B,C,D,,JEE,Eng,LL,Solid State
75,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan494 (01).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_27 (05).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
76,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan494 (02).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_27 (06).png,Chemistry_NEET,10.1,2,D,A,B,C,D,,JEE,Eng,LL,Solid State
77,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan494 (03).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_27 (07).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
78,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan494 (04).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_27 (08).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
79,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan494 (05).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_27 (09).png,Chemistry_NEET,10.1,2,D,A,B,C,D,,JEE,Eng,LL,Solid State
80,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan494 (06).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_27 (10).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
81,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan494 (07).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_27 (11).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
82,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan494 (08).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_28 (01).png,Chemistry_NEET,10.1,2,D,A,B,C,D,,JEE,Eng,LL,Solid State
83,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan494 (09).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_28 (02).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
84,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan494 (10).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_28 (03).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
85,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan495 (01).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_28 (04).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
86,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan495 (02).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_28 (05).png,Chemistry_NEET,10.1,2,D,A,B,C,D,,JEE,Eng,LL,Solid State
87,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan495 (03).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_28 (06).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
88,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan495 (04).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_28 (07).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
89,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan495 (05).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_28 (08).png,Chemistry_NEET,10.1,5,M,A,B,C,D,,JEE,Eng,LL,Solid State
90,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan495 (06).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_28 (09).png,Chemistry_NEET,10.1,5,M,A,B,C,D,,JEE,Eng,LL,Solid State
91,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan495 (07).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_28 (10).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
92,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan495 (08).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_28 (11).png,Chemistry_NEET,10.1,5,D,A,B,C,D,,JEE,Eng,LL,Solid State
93,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan495 (09).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_28 (12).png,Chemistry_NEET,10.1,5,D,A,B,C,D,,JEE,Eng,LL,Solid State
94,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan496 (1).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_29 (01).png,Chemistry_NEET,10.1,2,D,A,B,C,D,,JEE,Eng,LL,Solid State
95,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan496 (2).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_29 (02).png,Chemistry_NEET,10.1,3,E,A,B,C,D,,JEE,Eng,LL,Solid State
96,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan496 (3).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_29 (03).png,Chemistry_NEET,10.1,1,D,A,B,C,D,,JEE,Eng,LL,Solid State
97,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan496 (4).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_29 (04).png,Chemistry_NEET,10.1,1,D,A,B,C,D,,JEE,Eng,LL,Solid State
98,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan496 (5).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_29 (05).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
99,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan496 (6).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_29 (06).png,Chemistry_NEET,10.1,1,M,A,B,C,D,,JEE,Eng,LL,Solid State
100,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan497 (01).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_29 (07).png,Chemistry_NEET,10.1,5,D,A,B,C,D,,JEE,Eng,LL,Solid State
101,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan497 (02).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_29 (08).png,Chemistry_NEET,10.1,3,D,A,B,C,D,,JEE,Eng,LL,Solid State
102,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan497 (03).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_29 (09).png,Chemistry_NEET,10.1,3,D,A,B,C,D,,JEE,Eng,LL,Solid State
1,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan348 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (01).png,Chemistry_NEET,7.1,1,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
2,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan348 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (02).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
3,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan348 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (03).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
4,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan348 (04).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (04).png,Chemistry_NEET,7.1,1,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
5,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan349 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (05).png,Chemistry_NEET,7.1,1,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
6,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan349 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (06).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
7,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan349 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (07).png,Chemistry_NEET,7.1,2,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
8,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan350.png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (08).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
9,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan351 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (09).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
10,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan351 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (10).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
11,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan351 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (11).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
12,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan351 (04).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (12).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
13,b,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan352 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (13).png,Chemistry_NEET,7.1,1,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
14,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan352 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_73 (14).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
15,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan352 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (01).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
16,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan352 (04).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (02).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
17,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan353 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (05).png,Chemistry_NEET,7.1,1,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
18,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan353 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (06).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
19,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan353 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (07).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
20,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan354 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (08).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
21,b,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan354 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (09).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
22,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan354 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (10).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
23,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan354 (04).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (11).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
24,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan354 (05).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (12).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
25,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan354 (06).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (13).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
26,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan354 (07).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (14).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
27,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan355 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (15).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
28,b,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan355 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (16).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
29,b,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan355 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (17).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
30,b,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan355 (04).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (18).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
31,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan355 (05).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_74 (19).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
32,b,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan355 (06).png,,,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
33,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan355 (07).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_75 (01).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
34,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan355 (08).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_75 (02).png,Chemistry_NEET,7.1,2,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
35,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan356 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_75 (03).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
36,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan356 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_75 (04).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
37,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan356 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_75 (05).png,Chemistry_NEET,7.1,2,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
38,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan356 (04).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_75 (06).png,Chemistry_NEET,7.1,2,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
39,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan356 (05).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_75 (07).png,Chemistry_NEET,7.1,2,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
40,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan356 (06).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_75 (08).png,Chemistry_NEET,7.1,2,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
41,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan357 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_75 (09).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
42,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan357 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_75 (10).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
43,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan357 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (01).png,Chemistry_NEET,7.1,2,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
44,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan357 (04).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (02).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
45,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan357 (05).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (03).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
46,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan357 (06).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (04).png,Chemistry_NEET,7.1,2,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
47,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan357 (07).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (05).png,Chemistry_NEET,7.1,2,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
48,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan358 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (06).png,Chemistry_NEET,7.1,2,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
49,b,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan358 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (07).png,Chemistry_NEET,7.1,3,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
50,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan358 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (08).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
51,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan358 (04).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (09).png,Chemistry_NEET,7.1,2,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
52,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan358 (05).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (10).png,Chemistry_NEET,7.1,2,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
53,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan359 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (12).png,Chemistry_NEET,7.1,3,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
54,b,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan359 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (13).png,Chemistry_NEET,7.1,3,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
55,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan359 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (14).png,Chemistry_NEET,7.1,3,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
56,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan359 (04).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_76 (15).png,Chemistry_NEET,7.1,3,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
57,a,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan359 (05).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_77 (01).png,Chemistry_NEET,7.1,3,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
58,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan359 (06).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_77 (02).png,Chemistry_NEET,7.1,3,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
59,b,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan360 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_77 (03).png,Chemistry_NEET,7.1,3,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
60,b,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan360 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_77 (04).png,Chemistry_NEET,7.1,3,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
61,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan360 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_77 (05).png,Chemistry_NEET,7.1,3,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
62,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan360 (04).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_77 (07).png,Chemistry_NEET,7.1,3,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
63,b,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan361 (01).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_77 (08).png,Chemistry_NEET,7.1,2,D,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
64,c,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan361 (02).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_77 (09).png,Chemistry_NEET,7.1,2,M,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
65,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan361 (03).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_77 (10).png,Chemistry_NEET,7.1,4,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
66,d,https://s3.amazonaws.com/chemistryiit/chemicalkineticstiny/scan361 (04).png,,https://s3.amazonaws.com/chemistryiit/chemicalkineticsolutiontiny/scan_77 (11).png,Chemistry_NEET,7.1,4,E,A,B,C,D,,JEE,Eng,LL,Chemical Kinetics
